Category/GMHI,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
FBB0,1.553446602,2.399311263,2.310546376,1.879559137,-2.083208267,-0.722834308,1.292834424,3.404568026,2.769377929,2.613781411,1.565490739,2.112135258,1.156143525,0.473527728,2.062986279,3.93047589
FBB16,1.3525294,3.213076291,1.893716596,1.696708081,-2.293215134,-1.9362761,0.049883418,3.549680591,0.220721686,1.932638871,1.251828539,0.847142617,2.620407578,-0.777276289,1.561307102,4.067400689
Polyphenols,0.98160106,1.174023522,2.841521763,1.66875789,-0.985108486,-0.591698628,2.38173703,2.936620076,2.99209679,2.885427396,1.298195037,1.059686122,1.60715317,-0.299071588,1.941277756,3.86219002
Postbiotic,2.196418875,2.377694622,3.671662393,2.614653789,-1.553534486,-0.410227055,1.208098977,4.001499456,1.944680982,3.1580633,2.565565465,2.275404063,2.605788415,-0.2207447,1.677680445,3.683144451
Prebiotic control,1.559766565,1.432472406,3.803104091,2.53651216,-1.4620979,-0.682668233,0.97312925,3.689273199,1.820170953,2.419075354,1.537354609,1.434413241,2.128100548,0.694233082,2.659308153,3.353254754
Prebiotic fiber,1.755826514,2.135806785,2.760857485,2.13076333,-1.680571003,-0.739369859,1.841948529,3.296375026,2.865725002,3.069350668,1.754439785,1.95302697,1.93437872,0.16508156,2.388564221,3.762168828
Synergistic effect (Fiber),2.463241709,2.69728879,3.189259763,2.845899773,-1.655848928,-0.591357166,2.214768111,4.12009123,2.600509306,3.682344354,2.960739942,2.412819856,2.993265041,1.056073958,2.759748258,4.104992662
Vitamin,1.630011857,2.118329425,3.045090959,2.740936805,-2.166445053,-1.162396946,1.487314779,4.043697136,2.22535603,2.446600569,1.995176117,2.126106736,2.803013794,-0.100364865,3.477156689,3.451169299
Vitamin ,2.148456922,2.785079736,3.59954531,3.017598421,-2.171241208,-0.639074007,3.047718377,4.178975079,3.196924153,3.475217545,2.15408576,1.705123598,2.096001377,-0.233879951,2.381203083,3.251717148
Vitamin (Synergistic effect),2.392113243,2.344504162,3.099167878,2.772605687,-2.406236692,-0.934135215,1.080528321,4.299552807,1.729342351,1.819452998,1.494454897,1.768512933,2.606505751,0.570861778,3.07099166,3.338436857
Vitamin (Synergistic),2.000528003,2.340425274,3.052730273,2.183896966,-2.399919769,-0.753833787,1.308649242,4.051855817,2.227160187,2.714453545,1.455271859,2.526605108,2.635788537,-0.195948303,3.190130953,3.356111229
Vitamin + fiber,1.309895649,1.992705728,2.674307373,2.143387483,-1.825731263,-0.005908981,1.797827445,3.407466597,2.015951827,1.423284211,1.824329361,1.802499164,2.158743802,0.446862861,3.495734782,3.54656751
