,SampleNum,SampleName,GMHI,Microbiome,Rep,Sample_Abbr,Sample,Category
1,1,S13-1-3,2.00587823,S13,3,SBG,Super B-glucan (SBG),Prebiotic fiber
2,1,S11-1-3,1.695996878,S11,3,SBG,Super B-glucan (SBG),Prebiotic fiber
3,1,S15-1-2,2.126144765,S15,2,SBG,Super B-glucan (SBG),Prebiotic fiber
4,1,S4-1-2,2.223868804,S4,2,SBG,Super B-glucan (SBG),Prebiotic fiber
5,1,S8-1-3,2.915726622,S8,3,SBG,Super B-glucan (SBG),Prebiotic fiber
6,1,S12-1-2,2.295220282,S12,2,SBG,Super B-glucan (SBG),Prebiotic fiber
7,1,S12-1-3,1.977926974,S12,3,SBG,Super B-glucan (SBG),Prebiotic fiber
8,1,S15-1-3,3.322340933,S15,3,SBG,Super B-glucan (SBG),Prebiotic fiber
9,1,S6-1-2,-0.80686106,S6,2,SBG,Super B-glucan (SBG),Prebiotic fiber
10,1,S6-1-3,-1.079317635,S6,3,SBG,Super B-glucan (SBG),Prebiotic fiber
11,1,S14-1-2,0,S14,2,SBG,Super B-glucan (SBG),Prebiotic fiber
12,1,S14-1-3,0,S14,3,SBG,Super B-glucan (SBG),Prebiotic fiber
13,1,S10-1-1,3.366187745,S10,1,SBG,Super B-glucan (SBG),Prebiotic fiber
14,1,S16-1-3,3.688782684,S16,3,SBG,Super B-glucan (SBG),Prebiotic fiber
15,1,S7-1-3,1.770246221,S7,3,SBG,Super B-glucan (SBG),Prebiotic fiber
16,1,S7-1-2,1.640561506,S7,2,SBG,Super B-glucan (SBG),Prebiotic fiber
17,1,S16-1-2,3.727078389,S16,2,SBG,Super B-glucan (SBG),Prebiotic fiber
18,1,S2-1-2,2.189467379,S2,2,SBG,Super B-glucan (SBG),Prebiotic fiber
19,1,S8-1-2,3.217035163,S8,2,SBG,Super B-glucan (SBG),Prebiotic fiber
20,1,S3-1-1,1.076007405,S3,1,SBG,Super B-glucan (SBG),Prebiotic fiber
21,1,S3-1-2,1.614604991,S3,2,SBG,Super B-glucan (SBG),Prebiotic fiber
22,1,S3-1-3,1.068033655,S3,3,SBG,Super B-glucan (SBG),Prebiotic fiber
23,1,S1-1-3,1.222470163,S1,3,SBG,Super B-glucan (SBG),Prebiotic fiber
24,1,S11-1-2,1.746545579,S11,2,SBG,Super B-glucan (SBG),Prebiotic fiber
25,1,S5-1-1,-1.909067405,S5,1,SBG,Super B-glucan (SBG),Prebiotic fiber
26,1,S5-1-2,-1.882213589,S5,2,SBG,Super B-glucan (SBG),Prebiotic fiber
27,1,S2-1-1,1.581691352,S2,1,SBG,Super B-glucan (SBG),Prebiotic fiber
28,1,S4-1-1,2.248328621,S4,1,SBG,Super B-glucan (SBG),Prebiotic fiber
29,1,S13-1-2,0.768009789,S13,2,SBG,Super B-glucan (SBG),Prebiotic fiber
30,1,S7-1-1,1.658578243,S7,1,SBG,Super B-glucan (SBG),Prebiotic fiber
31,1,S1-1-1,1.676877372,S1,1,SBG,Super B-glucan (SBG),Prebiotic fiber
32,1,S15-1-1,3.00158931,S15,1,SBG,Super B-glucan (SBG),Prebiotic fiber
33,1,S9-1-1,2.099238069,S9,1,SBG,Super B-glucan (SBG),Prebiotic fiber
34,1,S9-1-2,3.103048993,S9,2,SBG,Super B-glucan (SBG),Prebiotic fiber
35,1,S9-1-3,2.31270442,S9,3,SBG,Super B-glucan (SBG),Prebiotic fiber
36,1,S11-1-1,2.314145359,S11,1,SBG,Super B-glucan (SBG),Prebiotic fiber
37,1,S8-1-1,3.219241305,S8,1,SBG,Super B-glucan (SBG),Prebiotic fiber
38,1,S14-1-1,0,S14,1,SBG,Super B-glucan (SBG),Prebiotic fiber
39,1,S2-1-3,2.336882808,S2,3,SBG,Super B-glucan (SBG),Prebiotic fiber
40,1,S5-1-3,-1.661781521,S5,3,SBG,Super B-glucan (SBG),Prebiotic fiber
41,1,S13-1-1,-1.214586263,S13,1,SBG,Super B-glucan (SBG),Prebiotic fiber
42,1,S10-1-2,2.539453662,S10,2,SBG,Super B-glucan (SBG),Prebiotic fiber
43,1,S10-1-3,3.29689489,S10,3,SBG,Super B-glucan (SBG),Prebiotic fiber
44,1,S4-1-3,2.682933067,S4,3,SBG,Super B-glucan (SBG),Prebiotic fiber
45,1,S1-1-2,1.291319401,S1,2,SBG,Super B-glucan (SBG),Prebiotic fiber
46,1,S12-1-1,2.139401792,S12,1,SBG,Super B-glucan (SBG),Prebiotic fiber
47,1,S6-1-1,0,S6,1,SBG,Super B-glucan (SBG),Prebiotic fiber
48,1,S16-1-1,3.77291973,S16,1,SBG,Super B-glucan (SBG),Prebiotic fiber
49,10,S15-10-1,3.296395682,S15,1,Acerola,Acerola full spectrum,Vitamin + fiber
50,10,S8-10-2,3.342288812,S8,2,Acerola,Acerola full spectrum,Vitamin + fiber
51,10,S6-10-2,-0.520490259,S6,2,Acerola,Acerola full spectrum,Vitamin + fiber
52,10,S9-10-1,1.847201011,S9,1,Acerola,Acerola full spectrum,Vitamin + fiber
53,10,S8-10-1,3.145607372,S8,1,Acerola,Acerola full spectrum,Vitamin + fiber
54,10,S13-10-1,2.420076326,S13,1,Acerola,Acerola full spectrum,Vitamin + fiber
55,10,S5-10-1,-1.980996882,S5,1,Acerola,Acerola full spectrum,Vitamin + fiber
56,10,S12-10-3,1.263629088,S12,3,Acerola,Acerola full spectrum,Vitamin + fiber
