Sample/GMHI,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
AXOS,2.176840148,2.17060027,2.179745451,2.153947866,-2.002071696,-0.870820373,1.47866138,3.294997141,2.713780388,3.3739917,1.164539945,1.874746305,1.105287319,0,1.538844695,
Acerola full spectrum,1.309895649,1.992705728,2.674307373,2.143387483,-1.825731263,-0.005908981,1.797827445,3.407466597,2.015951827,1.423284211,1.824329361,1.802499164,2.158743802,0.446862861,3.495734782,3.54656751
Acerola green + OBG 28%,2.463241709,2.69728879,3.189259763,2.845899773,-1.655848928,-0.591357166,2.214768111,4.12009123,2.600509306,3.682344354,2.960739942,2.412819856,2.993265041,1.056073958,2.759748258,4.104992662
Acerola red 20% vit C& acerola green vit C 34%,2.000528003,2.340425274,3.052730273,2.183896966,-2.399919769,-0.753833787,1.308649242,4.051855817,2.227160187,2.714453545,1.455271859,2.526605108,2.635788537,-0.195948303,3.190130953,3.356111229
Agrifiber,1.505237509,2.789134754,3.168803417,2.365346264,-1.680570028,0.177736882,1.713419498,3.141727599,2.523562699,3.196599977,1.535433368,1.668474016,2.381518853,-0.679072534,2.639227442,3.850839919
Aronox PE 40% polyphenols,1.287831804,1.824153273,3.188467147,1.912918905,-0.706085233,0.323851162,3.046154765,2.879498105,3.720585017,3.222746589,1.489015169,1.547234946,0.977346755,0.539534718,2.116431386,4.056308228
Ascorbic acid (Vit c),1.087871996,2.298904281,2.658311905,2.376428173,-1.903808767,-0.743414593,1.214104804,3.392089334,2.659152356,2.224441462,2.374843043,1.752232729,1.900375783,-0.379355497,2.843212508,3.264591974
Carrot juice + Green Acerola,2.392113243,2.344504162,3.099167878,2.772605687,-2.406236692,-0.934135215,1.080528321,4.299552807,1.729342351,1.819452998,1.494454897,1.768512933,2.606505751,0.570861778,3.07099166,3.338436857
Carrot juice pro vit A,2.148456922,2.785079736,3.59954531,3.017598421,-2.171241208,-0.639074007,3.047718377,4.178975079,3.196924153,3.475217545,2.15408576,1.705123598,2.096001377,-0.233879951,2.381203083,3.251717148
FBB0,1.553446602,2.399311263,2.310546376,1.879559137,-2.083208267,-0.722834308,1.292834424,3.404568026,2.769377929,2.613781411,1.565490739,2.112135258,1.156143525,0.473527728,2.062986279,3.93047589
FBB16,1.3525294,3.213076291,1.893716596,1.696708081,-2.293215134,-1.9362761,0.049883418,3.549680591,0.220721686,1.932638871,1.251828539,0.847142617,2.620407578,-0.777276289,1.561307102,4.067400689
Gingest,2.33629839,2.069293666,2.696427552,2.055702623,-2.083969899,-1.439270294,2.09329867,3.628971474,3.306266006,3.13314718,2.134560905,1.167997044,1.745914918,1.073790474,2.052855834,3.808170774
Green Acerola 34% Vit C,1.427179822,1.703774885,2.996784751,2.529931947,-2.144085658,-1.488916579,1.337367804,4.091810926,1.820382246,2.277161334,1.685148853,2.004608503,2.688818033,0.32997127,3.80005561,3.409904745
Inulin,1.559766565,1.432472406,3.803104091,2.53651216,-1.4620979,-0.682668233,0.97312925,3.689273199,1.820170953,2.419075354,1.537354609,1.434413241,2.128100548,0.694233082,2.659308153,3.353254754
OBG 28% (OatWell Bran),1.693494322,2.035995439,2.839255131,2.104079952,-1.338639204,-1.443213816,2.521750873,3.290872124,3.260271606,3.075886268,1.652808602,2.628637509,2.700397221,0.467058211,2.021447228,3.576026538
Oat B-glucans (OBG 70% (Low m.wt))- Garuda,1.582243581,1.798696773,3.571586792,2.486663109,-1.778219,-0.37366227,0.90487798,3.282563852,2.39105507,3.109503942,1.718185232,2.377490661,2.348413046,0.050973836,2.348589912,3.596469674
Red Acerola 20% Vit C,2.374983752,2.352309108,3.480176222,3.316450296,-2.451440733,-1.254859666,1.860489403,4.647191147,2.196533489,2.83819891,1.925536456,2.621478975,3.819847564,-0.251710367,3.78820195,3.679011178
Resistant starch postbiotic candidate 1,1.790530008,1.88692613,4.07166942,3.011919109,-1.738116071,-1.010106155,0.71298803,4.121873168,1.747839569,2.910125717,2.517308176,2.45786077,2.145823842,0.571728756,1.452714536,3.620541222
Resistant starch postbiotic candidate 2,2.602307742,2.868463113,3.271655366,2.217388469,-1.3689529,0.189652045,1.703209924,3.881125744,2.141522394,3.406000883,2.613822753,2.092947356,3.065752988,-1.013218156,1.902646353,3.74574768
Super B-glucan (SBG),1.396888979,2.036013846,1.252882017,2.385043497,-1.817687505,-0.628726232,1.689795323,3.117334363,2.504997161,3.067512099,1.918895939,2.137516349,0.519767252,0,2.816691669,3.729593601
Svetol,0.675370316,0.523893771,2.494576378,1.424596874,-1.26413174,-1.507248418,1.717319296,2.993742047,2.263608563,2.548108202,1.107374904,0.572137298,2.236959585,-1.137677894,1.766124125,3.668071812
Yeast B-glucans (YBG-Wellmune),1.196818583,2.352850116,2.600556808,1.759106153,-1.65425413,-0.729432694,1.74340394,3.103650532,2.83960392,2.814215037,2.229399185,1.427461158,1.359580235,-0.315423744,3.080598179,3.689068972
lantamanen OBG-29% GF,2.439466352,1.857065076,3.390194689,1.751673533,-1.303490358,-0.695203753,2.315340938,3.509964532,3.284966756,2.987043159,1.288428541,2.289705606,2.761423317,0.613271867,2.043779123,4.085012319
