SampleName,GMHI,Microbiome,SampleNum,Rep
S13-1-3,2.00587823,S13,1,3
S4-1-2,2.223868804,S4,1,2
S8-1-3,2.915726622,S8,1,3
S11-1-3,1.695996878,S11,1,3
S15-1-2,2.126144765,S15,1,2
S6-1-1,0,S6,1,1
S16-1-1,3.77291973,S16,1,1
S16-1-2,3.727078389,S16,1,2
S2-1-2,2.189467379,S2,1,2
S8-1-2,3.217035163,S8,1,2
S3-1-1,1.076007405,S3,1,1
S3-1-2,1.614604991,S3,1,2
S3-1-3,1.068033655,S3,1,3
S1-1-3,1.222470163,S1,1,3
S11-1-2,1.746545579,S11,1,2
S5-1-1,-1.909067405,S5,1,1
S5-1-2,-1.882213589,S5,1,2
S2-1-1,1.581691352,S2,1,1
S4-1-1,2.248328621,S4,1,1
S13-1-2,0.768009789,S13,1,2
S7-1-1,1.658578243,S7,1,1
S1-1-1,1.676877372,S1,1,1
S15-1-1,3.00158931,S15,1,1
S9-1-1,2.099238069,S9,1,1
S9-1-2,3.103048993,S9,1,2
S9-1-3,2.31270442,S9,1,3
S11-1-1,2.314145359,S11,1,1
S8-1-1,3.219241305,S8,1,1
S14-1-1,0,S14,1,1
S2-1-3,2.336882808,S2,1,3
S5-1-3,-1.661781521,S5,1,3
S13-1-1,-1.214586263,S13,1,1
S10-1-2,2.539453662,S10,1,2
S10-1-3,3.29689489,S10,1,3
S4-1-3,2.682933067,S4,1,3
S1-1-2,1.291319401,S1,1,2
S12-1-1,2.139401792,S12,1,1
S12-1-2,2.295220282,S12,1,2
S12-1-3,1.977926974,S12,1,3
S15-1-3,3.322340933,S15,1,3
S6-1-2,-0.80686106,S6,1,2
S6-1-3,-1.079317635,S6,1,3
S14-1-2,0,S14,1,2
S14-1-3,0,S14,1,3
S10-1-1,3.366187745,S10,1,1
S16-1-3,3.688782684,S16,1,3
S7-1-3,1.770246221,S7,1,3
S7-1-2,1.640561506,S7,1,2
S14-10-3,1.307795047,S14,10,3
S5-10-3,-1.958966369,S5,10,3
S8-10-3,3.734503608,S8,10,3
S16-10-2,3.087637311,S16,10,2
