Sample,Acetate,Propionate,Isobutyrate,Butyrate,Isovalerate,"sum(ace,pro,buty)",sum(isobuty+isoval)
S1-1-1,44.35454753,15.03692057,0.848937559,29.10560355,0.643724579,88.49707166,1.492662138
S1-1-2,49.43475826,18.51159939,1.113761397,36.24089829,0.911147435,104.1872559,2.024908832
S1-1-3,49.40584595,16.09787234,0.967472731,32.66399113,0.782411759,98.16770941,1.74988449
S1-10-1,22.84174543,0,0.618744249,0,0.442785517,22.84174543,1.061529766
S1-10-2,23.67134892,0,0.724896523,0,0.521297747,23.67134892,1.246194269
S1-10-3,31.93181959,0,0.709020072,0,0,31.93181959,0.709020072
S1-11-1,37.24962601,0,0.793100486,0.376804152,0.567305991,37.62643016,1.360406477
S1-11-2,38.90476831,0,0.671271986,0,0.478341276,38.90476831,1.149613262
S1-11-3,31.30958242,0,0.62462486,0.387487752,0.453628798,31.69707017,1.078253658
S1-12-1,28.76078814,0,0.79723016,0.354166173,0.561534997,29.11495432,1.358765158
S1-12-2,42.3080711,0,0,0,0,42.3080711,0
S1-12-3,23.15823929,1.076133847,0.61990211,1.350318906,0.464438592,25.58469204,1.084340702
S1-13-1,0,0,0.673492049,0,0,0,0.673492049
S1-13-2,34.76496519,0,0.820065479,0,0.592538967,34.76496519,1.412604446
S1-13-3,28.77579936,0,0.844479808,0,0.621103883,28.77579936,1.465583691
S1-14-1,0,0,0,0,0,0,0
S1-14-2,22.7616981,0,0.734459441,0.453204714,0.531641191,23.21490281,1.266100632
S1-14-3,0,0,0,0,0,0,0
S1-15-1,0,0,0.723573157,0,0.506836073,0,1.230409229
S1-15-2,0,0,0.750152283,0,0.539130109,0,1.289282392
S1-16-1,95.03212359,1.017401327,0.831806518,3.598309731,0.612726143,99.64783465,1.444532661
S1-19-1,46.79458703,1.810264884,0.837144853,0.712795442,0.66557897,49.31764735,1.502723823
S1-19-2,55.12586323,0,0.85683932,0,0,55.12586323,0.85683932
S1-19-3,42.61419258,0,0.699603658,0,0.491027699,42.61419258,1.190631358
S1-2-1,107.3425037,0,0,11.47168202,0,118.8141857,0
S1-2-2,80.01418597,2.036470383,0.781251632,12.2374907,0.582505435,94.28814705,1.363757067
S1-2-3,103.4964498,2.18684361,0.797414703,12.11738101,0.585802186,117.8006744,1.383216889
S1-20-1,87.40401533,0,0.756691547,3.771298892,0.523459657,91.17531422,1.280151204
S1-20-2,80.26988468,1.660777048,0.696506933,4.119523104,0.488118693,86.05018483,1.184625626
S1-20-3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
S1-21-2,0,0,0,0,0,0,0
S1-21-3,53.59855698,0,0.651877637,0,0,53.59855698,0.651877637
S1-3-1,53.49061179,6.429783018,0.844554563,3.016341082,0.684484341,62.93673589,1.529038904
S1-3-2,52.2748917,5.265399323,0.729343682,3.63533721,0.567273941,61.17562823,1.296617623
S1-3-3,0,0,0,0,0,0,0
S1-4-1,0,0,0,5.854392912,0,5.854392912,0
S1-4-3,0,0,0,7.57358044,0,7.57358044,0
S1-5-1,46.98828928,12.52581362,0.909017674,26.48014155,0.722591937,85.99424445,1.631609611
S1-5-2,48.4155951,9.937876527,1.057116665,24.69125177,0.722502196,83.0447234,1.779618861
S1-5-3,45.87707314,12.71381562,0.918444331,27.42998106,0.725405536,86.02086983,1.643849866
S1-6-1,36.75238389,0,0.709082696,1.16909444,0.533881763,37.92147833,1.242964459
S1-6-2,0,0,0,0,0,0,0
S1-6-3,32.33535915,0,0.626554116,0.885812385,0.468351966,33.22117154,1.094906082
S1-7-1,55.91016823,2.225884522,0.641627502,12.61987988,0.521410809,70.75593263,1.163038311
S1-7-2,74.48378092,2.251322353,0.757991679,15.03116142,0.602140952,91.76626469,1.360132631
S1-7-3,69.00253426,2.361530088,0.724162454,14.06558183,0.569673956,85.42964618,1.29383641
S1-8-1,44.22646152,3.843756724,0.797910463,12.90201634,0.613025292,60.97223458,1.410935755
