Sample,Acetate,Propionate,Isobutyrate,Butyrate,Isovaleric,Valeric,InternalSD
STD1,109.8049,141.65819,70.23192,154.22331,104.39198,94.53804,108.05412
S1-12-1,38.20855,0,10.64776,4.42053,12.4935,10.93922,197.6062
S1-16-1,77.52377,3.66613,6.82184,27.57849,8.37102,7.42427,121.34035
S1-20-3,99.0476,0,0,0,0,0,0
S1-12-2,9.7386,0,0,0,0,0,34.23845
S1-14-3,0,0,0,0,0,0,20.80262
S1-3-3,0,0,0,0,0,0,18.78643
S1-2-1,33.85695,0,0,33.99466,0,0,46.91556
S1-14-1,0,0,0,0,0,0,53.57949
S1-19-2,25.05703,0,3.91551,0,0,0,67.61063
S1-19-3,24.64573,0,4.06775,0,4.75599,0,86.0257
S1-10-3,18.63651,0,4.1602,0,0,0,86.81239
S1-13-1,0,0,3.64188,0,0,0,80.00538
S1-21-3,27.13593,0,3.31797,0,0,0,75.30649
S1-15-1,0,0,4.4013,0,5.13569,0,89.99628
S1-21-2,0,0,0,0,0,0,55.96428
S1-6-3,22.92095,0,4.46507,5.89935,5.56,0,105.43765
S1-2-3,72.29965,6.74807,5.60028,79.52927,6.85345,0,103.90861
S1-20-1,41.57064,0,3.61817,16.85209,4.16952,0,70.74506
S1-4-3,0,0,0,16.79806,0,0,35.11488
S1-6-1,28.81749,0,5.58962,8.61247,7.01073,0,116.63031
S1-6-2,0,0,0,0,0,0,19.16513
S1-4-1,0,0,0,13.0509,0,0,35.29327
S1-15-2,0,0,3.18124,0,3.80867,0,62.74412
S1-3-2,36.21828,16.11451,5.08021,23.66393,6.58226,0,103.05652
S1-9-1,38.24751,26.75321,5.68743,159.26009,6.90457,5.32988,109.24852
S1-1-1,27.96208,41.8737,5.38049,172.39133,6.7964,5.41804,93.77177
S1-11-2,29.12107,0,5.05147,0,5.99639,0,111.33848
S1-13-2,24.43079,0,5.79374,0,6.97365,5.10802,104.52893
S1-20-2,85.32739,7.79827,7.44348,41.14246,8.68978,6.85856,158.11629
S1-5-2,42.2476,38.30553,9.27373,202.4265,10.55853,8.12162,129.79488
S1-19-1,43.84293,7.49199,7.88532,6.27446,10.44362,7.96579,139.36212
STD2,134.80147,160.09523,88.11272,176.14893,127.16719,109.79653,142.73457
S1-3-1,50.06062,26.58068,7.94623,26.52202,10.72827,8.73464,139.20648
S1-1-3,40.41393,58.16642,7.95621,251.03223,10.71854,9.46752,121.67281
