Sample,Acetate,Propionate,Isobutyrate,Butyrate,Isovaleric,Valeric,InternalSD
STD1,163.69156,185.341,89.42015,185.76286,130.0918,108.37714,142.73604
S2-8-1,66.12094,222.63971,16.49,317.21545,15.48531,17.53139,216.16016
S2-10-1,47.00064,0,11.94196,0,13.49041,11.06803,191.51042
S2-7-1,65.4875,230.21239,12.82386,405.42276,13.07013,13.55552,151.62788
S2-12-2,49.60814,0,11.2144,9.33415,13.35897,11.62599,223.18739
S2-4-3,70.66645,66.76051,9.27029,32.6854,12.49124,9.92451,238.76613
S2-1-2,82.57999,326.75681,23.67881,298.13245,13.85159,18.96752,265.05267
S2-20-1,73.61856,42.79626,12.46023,38.47058,12.73924,9.95691,253.91882
S2-10-2,52.36375,0,12.67187,0,14.61454,13.48269,231.31216
S2-2-2,126.32426,271.03918,17.09103,287.65497,13.10688,13.97835,229.5473
S2-14-3,38.31534,0,10.14686,0,13.41106,10.03512,169.66698
S2-15-1,36.19407,0,9.71633,0,11.28609,9.94148,206.54208
S2-12-3,39.4705,0,10.44951,0,12.41471,10.97236,237.56944
S2-19-1,45.44611,0,10.78756,0,12.83777,11.44547,236.28778
S2-6-3,43.34822,74.46677,10.18883,5.87146,12.25045,10.13693,234.03188
S2-1-1,83.06033,383.31818,19.35368,391.10275,19.1932,26.31525,239.58116
S2-5-2,76.52938,390.24619,16.96401,504.48605,16.55648,21.82483,256.87463
S2-3-2,37.99475,31.43668,6.97098,4.65957,9.6944,7.5234,204.66727
S2-20-3,140.97948,120.72314,24.59354,91.11175,29.13673,25.01426,414.70679
S2-20-2,82.76471,78.97894,14.62161,48.7952,15.99068,15.07279,309.06363
S2-13-3,45.35272,0,13.259,0,15.31982,15.3476,305.53452
S2-9-2,173.12842,392.70563,25.19247,316.16843,20.10325,18.77145,381.42453
S2-16-2,66.42389,0,15.37184,12.2146,18.36448,18.16278,323.642
S2-10-3,60.64571,0,18.92745,0,22.21335,22.48715,418.05948
S2-16-1,79.49326,0,18.40614,13.1592,21.89506,21.94514,426.28217
S2-16-3,83.12268,0,19.66402,13.05163,23.49503,23.94576,409.25128
S2-3-3,87.06384,67.40755,17.01603,0,22.16594,21.00986,478.21216
S2-15-2,56.13329,0,17.51076,0,20.66176,20.95258,305.65775
S2-13-2,58.51767,0,18.71289,0,23.3754,22.14017,421.79468
S2-6-2,68.41652,101.71559,18.80681,15.17805,21.34696,21.41083,394.62286
S3-9-1,178.10641,650.237,27.00675,195.93213,20.20818,27.61553,343.87515
S3-3-3,177.58086,905.63086,0,40.26439,29.72585,37.15422,609.14868
S3-11-2,49.27637,0,0,0,16.75058,17.80213,397.25235
S3-1-2,148.79617,590.91992,0,361.41632,30.91243,118.91943,441.86032
S3-16-3,236.23227,76.52875,0,0,0,47.24627,763.24622
S3-2-2,117.75845,310.42932,0,98.58523,13.45558,18.92435,377.03177
S3-13-2,0,0,0,0,0,0,787.68329
STD2,693.82965,739.74109,615.07568,946.74432,677.07562,619.21423,819.44421
S3-14-3,0,0,0,0,0,0,598.98932
S3-6-3,0,555.17346,0,0,0,71.80727,862.57379
S3-5-1,185.78572,981.78796,0,680.07648,0,406.03406,703.12726
S3-10-1,0,0,0,0,0,0,620.09528
S3-14-1,0,0,0,0,0,0,596.07764
