Sample,Acetate,Propionate,Isobutyrate,Butyrate,Isovaleric,Valeric,InternalSD
STD1,182.67094,272.29599,109.21983,336.53223,165.6452,129.39973,351.76434
GD_P1_A1,21.89068,0,5.59318,0,6.78974,6.1426,67.95209
GD_P1_A2,69.91293,0,5.55992,21.39183,6.62176,5.79389,65.7885
GD_P1_A3,60.84063,5.24346,5.37058,30.5703,6.30259,5.33848,63.37237
GD_P1_A4,34.93816,84.22495,7.59812,312.82297,12.40687,10.3284,66.05807
GD_P1_A5,24.3046,0,6.19216,0,21.10275,6.98945,62.94917
GD_P1_A6,23.63843,0,5.87509,0,7.23208,6.70873,63.64364
GD_P1_A7,46.00299,10.05846,5.11783,46.92583,6.51187,5.85589,61.62304
GD_P1_A9,36.22924,0,4.15617,5.41115,4.77497,4.4241,58.70845
GD_P1_A11,28.40326,65.41229,6.15047,268.27567,9.14685,8.14508,63.97231
GD_P1_A12,42.37632,19.86917,5.05245,30.54668,16.95972,5.58769,60.2753
STD2,67.28323,91.60318,30.89373,106.87817,47.05823,43.20954,104.63577
