Sample,Acetate,Propionate,Isobutyrate,Butyrate,Isovaleric,Valeric,InternalSD
STD1,156.92354,187.85696,95.59938,189.94771,139.05331,173.92509,157.22014
S14-14-2,22.06628,0,7.4532,0,8.77966,8.17276,142.67577
S14-13-1,22.9509,0,7.44323,0,8.7085,8.20203,139.6515
S14-2-1,53.17834,17.27767,7.40819,176.99852,9.33189,8.09171,140.83517
S14-15-3,22.82921,0,7.48422,0,8.85185,8.05919,144.82744
S14-12-2,23.38693,0,7.60416,0,8.88769,8.35331,162.14207
S14-7-2,60.91525,13.47523,7.80767,350.03522,10.0311,8.31985,144.57498
S14-4-1,30.56435,40.5954,7.17883,171.06543,9.95335,8.78857,147.59698
S14-6-1,10.71656,10.43558,8.09346,270.9024,10.25951,9.22894,147.29068
S14-9-1,37.33873,20.72933,8.07835,94.19505,10.69256,8.07321,148.36307
S14-20-3,70.70102,10.64518,9.1787,116.92499,10.64923,9.99469,159.61974
S14-11-2,38.32341,33.89785,8.35364,154.34001,10.62911,9.25397,156.14687
S14-1-2,26.53056,0,8.66272,0,10.12109,9.49442,159.56271
S14-1-1,39.91418,35.5685,8.59779,160.41162,10.87935,9.32126,155.00958
S13-1-1,40.7857,36.27299,8.85933,172.03722,11.25961,9.61674,156.50082
S14-3-2,21.28592,30.79414,5.0268,101.20071,7.28872,6.92328,131.60855
S14-16-2,29.44469,44.03186,7.29941,144.43463,10.21157,9.69745,163.27841
S14-9-2,43.21662,24.18282,9.60616,108.08693,12.72811,9.79432,170.10233
S14-8-1,46.25593,25.10984,8.3907,100.72965,10.56981,9.13218,168.01111
S14-5-2,37.87928,26.5062,7.22024,148.15384,9.38319,8.60826,130.57877
S14-9-3,33.26867,18.54081,7.12702,81.78045,9.55177,7.46463,129.58266
S14-19-3,25.05897,11.61728,7.39422,0,9.2908,8.91623,122.9698
S14-11-3,22.15591,0,7.33906,0,8.45513,8.24224,133.52226
S14-5-1,37.3312,30.95392,7.28462,148.76675,9.51014,8.26418,135.47011
S14-19-2,29.01325,11.0354,7.58866,0,9.17407,8.67491,137.55017
S14-3-3,21.61151,36.58609,6.81801,158.00656,9.5346,8.96447,137.50784
S14-6-3,8.17293,9.41444,7.8302,216.26878,9.7313,9.25696,141.58769
STD2,150.37897,179.24028,89.33607,180.02718,130.6761,163.81235,145.82758
S14-2-3,52.91958,19.067,7.51074,158.72177,9.18102,9.01037,147.72818
S14-14-3,20.66872,0,7.1401,0,8.36332,8.18142,137.66995
S14-14-1,20.9852,0,7.38693,0,8.44275,8.26981,138.26961
S14-20-2,65.14458,9.91168,8.46726,101.97456,9.93396,8.46629,142.1956
S14-11-1,22.33723,0,7.56417,0,8.81183,8.72459,139.3378
S14-3-1,26.04448,41.7905,7.035,147.22621,9.89496,9.33586,153.05533
S14-21-1,27.10638,8.03995,7.83973,15.27081,9.28449,9.06631,139.78444
S14-2-2,58.83278,19.83719,7.90902,194.76733,9.9284,9.07891,147.43726
S14-15-2,23.53345,0,8.06354,0,9.36895,9.05072,145.23335
S14-12-3,25.12408,0,7.95046,0,9.17601,8.93145,142.16069
S14-15-1,21.99735,0,7.36954,0,8.62075,8.53309,130.53041
S14-21-3,23.32155,9.719,6.64096,3.59168,7.89216,7.69788,132.56194
S14-19-1,27.6388,11.52702,7.11265,0,8.72699,8.07154,134.98128
S14-12-1,22.66317,0,7.26564,0,8.37639,8.12471,135.26419
S14-7-3,56.31598,11.96302,6.77957,298.6377,8.75233,7.64008,128.51518
S14-10-2,20.78776,0,7.07529,0,8.19359,8.02518,124.07804
S14-10-1,22.39489,0,7.64234,0,8.78711,8.50532,126.19559
S14-16-3,27.37142,6.25334,6.85542,34.33192,8.18109,7.56677,123.67954
S14-6-2,9.15578,9.1152,7.88557,198.08707,9.78352,9.35504,144.55127
S14-10-3,22.82789,0,7.7055,0,8.85684,8.60689,140.907
S14-7-1,52.58871,12.89937,6.8015,326.76419,8.56474,7.92901,126.85176
S14-1-3,31.29416,29.78583,7.00572,141.80154,8.92732,7.72709,125.98751
S14-4-3,26.94113,37.55603,6.17459,143.24139,8.62883,8.01346,128.90184
S14-5-3,33.99887,26.37436,6.89743,151.78899,8.83092,7.8074,124.89417
S14-4-2,24.24124,36.84777,5.79107,153.90887,8.06598,7.47302,122.39558
S14-16-1,24.40276,8.51269,6.93077,203.60298,8.29952,8.05177,128.48158
S14-13-2,21.46598,0,7.21161,0,8.6693,8.31586,128.26828
STD3,128.92317,157.06677,77.27355,160.74429,117.13224,147.45561,131.6404
S14-13-3,20.22827,0,7.09098,0,8.13669,7.99916,135.81265
S15-12-1,22.51245,0,6.83391,0,7.98626,7.60126,122.5856
S15-16-1,84.8577,4.92465,6.16451,28.52707,7.4052,7.0619,117.28482
S15-4-2,25.01399,177.8588,6.95681,354.50635,8.98726,13.63564,128.77838
