Sample,Acetate,Propionate,Isobutyrate,Butyrate,Isovaleric,Valeric,InternalSD
S15-5-1,34.751,234.20528,6.89105,399.80838,9.04381,15.11491,125.37095
S15-19-3,29.06446,11.37727,6.51647,26.25247,7.93069,7.03624,120.33059
S15-5-2,31.12656,209.56976,6.38322,351.48483,8.46135,13.6996,112.68815
S14-20-1,54.1749,15.39243,6.92108,99.22752,8.14765,7.02151,113.4382
S15-14-3,15.52093,0,5.16328,0,6.13898,5.76849,106.89581
S15-11-2,23.41467,0,5.96569,5.51435,7.1534,6.41731,107.6106
S15-21-1,39.12591,0,5.30326,4.75221,6.33826,5.64649,109.2271
S15-7-2,22.94412,34.59389,5.9279,425.00519,7.32029,7.6424,110.15319
S15-5-3,31.81859,198.22389,5.8337,331.91125,7.59472,12.28962,110.29855
S15-10-3,19.62971,0,6.09382,7.11694,7.19542,6.6499,115.52665
S15-2-1,37.80171,58.98267,6.54868,426.41882,7.99996,9.16763,119.85598
S15-7-3,21.83105,31.98901,6.02211,442.64529,7.34037,8.02275,111.03004
S15-7-1,23.17108,35.93982,6.14512,463.08765,7.50238,8.33975,123.36772
S15-20-3,26.89665,6.89229,3.27972,61.3055,3.80441,3.55464,59.89915
S15-11-1,34.37287,0,10.01227,7.47471,11.96012,10.86133,191.79594
S15-9-2,39.62004,142.06664,7.81703,509.04898,9.61758,13.51312,161.83507
S15-1-3,35.05793,322.64328,11.75075,440.30078,12.38356,21.75288,173.6227
S15-4-1,27.38692,178.61543,7.29614,335.94205,9.39136,12.236,147.2356
S15-9-3,14.42154,45.73397,0,159.407,0,4.23514,51.1972
S15-20-1,28.86176,6.78571,3.40771,53.84288,3.92474,3.74121,57.9842
S15-11-3,22.11441,0,4.86986,4.73748,5.61701,5.47174,92.48598
S15-20-2,59.41962,12.66018,6.57114,117.37813,7.66307,6.97412,113.10342
S15-19-2,18.15139,6.29738,4.08049,9.17709,4.89109,4.74849,78.23359
S15-13-1,14.58368,0,4.49277,0,5.29617,4.80092,84.57185
S15-3-1,16.05868,97.37839,3.68893,158.58969,4.86842,6.72819,73.92662
S15-15-1,9.38498,0,0,0,0,0,45.13316
S15-13-2,12.23225,0,3.37529,0,3.97714,3.72703,64.56052
S15-15-2,16.21365,0,5.04609,0,5.95148,5.7957,96.6785
S15-2-3,33.41696,48.88095,4.70674,304.74594,5.78211,6.47879,91.38657
S15-9-1,22.48605,69.48431,3.76049,241.22765,4.63571,6.39635,76.25337
S15-16-2,54.03805,3.51495,4.05499,15.08828,4.82426,4.55743,78.0557
S15-6-3,20.08179,81.32237,4.84075,39.19573,6.23619,6.63064,95.63462
S16-3-2,39.48882,10.49458,6.61687,291.47986,8.00927,7.71815,127.37171
S16-10-1,17.11847,0,4.20749,0,4.73892,5.07391,81.27043
S16-12-3,26.44769,0,5.00473,0,5.86974,5.82539,96.89768
S16-5-2,20.08359,99.48545,8.34482,594.03638,10.78157,14.80275,160.43428
STD2,141.71121,177.84746,90.4773,181.0556,131.80637,164.24846,146.67491
S16-15-1,15.73931,0,3.64596,0,4.14955,4.23095,67.31152
S16-14-2,15.03536,0,5.39991,0,6.11944,6.13206,101.88918
S16-11-1,29.3819,0,4.32446,0,5.00417,5.02544,82.90532
S16-4-1,28.16131,5.4778,4.55995,114.72079,5.5843,5.32035,85.67184
S16-12-1,10.51676,0,0,0,3.10532,0,51.59222
S16-10-3,13.07345,0,3.79738,0,4.34208,4.36033,69.94505
S16-7-2,16.89202,7.06992,4.37829,299.07947,5.33014,5.06009,83.43835
S16-2-3,23.47239,0,0,182.40535,0,0,43.79751
S16-19-3,18.74887,0,4.013,20.32763,4.66879,4.48817,74.36459
S16-11-2,18.54895,0,0,0,3.25641,0,54.87908
S16-9-2,10.90198,26.75499,3.40467,220.49338,4.24562,4.84393,62.48914
S16-12-2,14.67128,0,3.07969,0,3.5948,0,59.46951
S16-3-3,36.62492,6.49094,4.87397,166.39229,5.87887,5.5717,94.43638
S16-6-2,0,18.59832,4.45999,163.37683,5.38782,5.74072,81.08352
S16-21-3,13.03024,0,0,3.97374,0,0,51.28365
S16-5-1,9.76098,47.3603,4.00751,276.35504,5.06811,7.28856,74.51218
S16-16-2,53.91355,0,4.43909,15.11761,5.04186,4.99346,84.13612
S16-19-1,21.32548,0,5.60293,29.71602,6.63093,6.12215,111.70008
S16-4-3,26.75088,4.24105,4.12813,90.38811,4.9934,4.66437,79.13364
S16-20-3,22.05375,0,0,52.55846,0,0,46.47937
S16-16-3,30.72819,0,0,5.65739,3.1452,0,53.29666
S16-6-3,0,0,0,6.15822,0,0,0
S16-20-1,41.06302,0,0,0,0,0,0
S16-1-3,0,8.63186,0,55.73922,0,0,13.18739
S16-15-2,9.78784,0,0,0,0,0,32.73072
STD3,35.44925,42.52876,20.10789,43.13853,30.82268,38.0033,34.39555
S16-13-1,12.01797,0,0,0,0,0,41.90842
S16-9-3,12.09783,26.69875,3.22624,225.43668,4.12032,4.72336,60.53695
S16-13-2,15.73638,0,0,0,3.41516,0,55.98488
S16-16-1,41.12237,0,3.04775,7.17493,3.61425,0,60.1611
S16-14-1,11.31617,0,3.28743,0,3.79398,0,65.62906
S16-20-2,27.00151,4.12247,3.08598,72.32569,3.5906,0,53.8415
S16-1-2,0,37.01211,3.68324,250.95409,4.79043,7.53941,65.11281
S16-1-1,0,42.70011,4.28123,293.89407,5.59584,8.69972,75.39635
S16-14-3,16.64567,0,5.31646,4.52076,6.00709,5.8928,102.22272
S16-13-3,13.00701,0,0,0,0,0,48.20579
S16-3-1,11.16263,4.20351,0,169.72302,0,0,47.53724
S16-11-3,26.48109,0,3.71633,0,4.19572,4.12027,69.17134
S16-5-3,13.20086,49.62771,4.09538,287.39899,5.22813,7.22676,75.17226
