,STD1,S12-12-3,S12-6-3,S12-12-2,S12-20-2,S12-10-1,S12-14-1,S12-4-1,S12-11-1,S12-16-3,S12-13-3,S12-7-1,S12-11-2,S12-3-2,S12-4-2,S12-12-1,S12-1-1,S12-2-1,S12-16-2,S12-7-2,S12-1-3,S12-2-2,S12-1-2,S12-15-2,S12-5-2,S13-7-1,S13-5-2,STD2,S13-20-3,S13-10-1,S13-13-3,S13-6-2,S13-20-2,S13-20-1,S13-2-3,S13-14-2,S13-16-3,S13-19-3,S13-10-2,S13-19-1,S13-13-1,S13-10-3,S13-21-3,S13-15-1,S13-19-2,S13-21-1,S13-9-2,S13-11-3,S13-11-1,S13-12-2,S13-16-1,S13-11-2,S13-14-3,S13-16-2,S13-12-3,STD3,S13-5-1,S13-7-3,S13-6-3,S13-9-1,S13-1-3,S13-4-3,S13-7-2,S13-9-3,S13-2-2,S13-5-3,S13-14-1,S13-2-1,S13-8-1,S13-3-3,S13-1-2,S13-4-1,S13-4-2,S13-6-1,S13-12-1,S13-3-2,S13-15-2,S13-15-3,STD4,S13-13-2,S13-21-2,S13-3-1,S14-21-2
Acetate,164.0889,27.28548,5.71759,23.06165,70.49661,25.7114,23.98333,38.47335,40.46305,81.1069,29.08442,31.48963,38.11016,42.79783,36.99395,28.51775,15.43553,,80.39829,30.5814,7.9585,43.24423,9.96959,15.06973,14.15648,46.46952,44.68308,130.87154,90.6079,29.9451,38.87506,43.50206,68.80983,75.33762,56.95243,18.98675,68.6095,28.21249,8.72497,17.38174,18.96908,8.82693,15.28262,10.58303,15.43331,20.20764,21.5626,26.83948,24.12528,14.62294,50.8554,20.04649,8.70235,41.73734,30.22569,141.54828,14.80031,27.87033,22.56081,57.51967,44.61422,30.33264,42.27721,51.65659,41.0958,42.02078,17.22264,57.56662,43.6337,48.82555,48.97366,45.59984,44.93465,45.65376,39.46977,39.08768,35.0005,35.7323,158.72842,31.83883,43.09186,41.14532,20.78404
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propionate,193.5499,,6.32967,,8.62231,,,26.34161,,12.13306,,13.06524,,34.9642,24.9121,,56.89354,,13.2389,13.44586,26.00699,10.03816,32.14305,,28.32248,52.19319,228.48436,158.63747,26.72945,,,204.71826,14.71616,15.05352,67.57538,,3.21993,5.88008,,,,,,,,,27.20818,34.63531,,,,,,,124.15469,182.67928,,28.2291,104.22084,79.41288,196.30479,91.63777,48.64981,60.64724,48.45963,226.17419,,70.70084,99.80091,122.66228,242.3062,143.00711,140.11658,223.10674,4.8174,102.55001,,,190.94164,,,98.12363,8.5283
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isobutyrate,97.90896,9.19608,9.47174,7.76882,10.20576,8.80286,8.60016,9.85828,9.1846,8.5886,9.79342,10.06945,9.50361,8.8874,9.29567,10.04128,12.67937,,8.96905,8.56201,6.11341,5.77296,7.29275,5.03815,6.9633,7.94049,6.53774,79.86606,11.16489,9.40605,8.15797,9.34385,7.74345,8.65197,6.78089,6.55884,5.85077,5.82969,,3.53225,4.17203,,,,2.99075,3.01723,,,4.28305,3.7363,3.74056,3.5872,3.10996,3.21623,3.14358,92.07727,4.20796,4.33821,4.98414,5.52337,6.90913,4.72019,6.95864,5.05812,4.23535,6.82075,5.56189,7.03902,7.69293,6.28633,9.1824,7.73,7.20738,10.49905,11.25494,4.95611,6.45606,6.40853,95.47258,6.2489,5.6708,5.24727,6.04849
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butyrate,193.24529,,351.48096,4.59529,348.79181,3.31044,,364.65613,4.56557,63.10565,3.78953,638.87244,5.93448,176.90034,408.85202,7.68998,564.22699,5.45257,57.71071,542.80878,273.26428,387.93738,331.91736,3.14719,367.60071,307.21652,274.28156,161.22925,49.14998,4.3919,4.52934,131.90762,29.85102,38.13015,293.41504,5.36662,6.1693,3.09694,,,,,,,,,59.13847,75.72693,,,5.12232,,,4.55933,116.49314,190.48804,,176.64952,71.42524,178.63005,182.79378,37.70208,307.10504,123.86892,223.89485,284.74649,6.142,325.13995,190.15878,18.07137,214.01645,58.4098,60.21047,125.2482,5.12733,14.74252,,,192.81342,,14.57761,17.26387,14.49411
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isovaleric,141.10756,10.83893,12.1126,9.23404,11.89275,10.89297,10.03594,12.67683,11.09037,10.4056,13.90091,12.73271,11.11743,11.38247,11.86166,11.56324,19.34387,,10.71822,12.41846,9.29175,7.2652,11.11702,5.95022,10.30247,9.46136,8.37023,117.29219,12.20483,10.34997,8.89501,11.5477,8.17741,8.9245,8.43047,7.04266,6.37098,6.77414,3.17237,4.23262,4.73007,3.14454,,,3.69874,3.57296,,3.42447,4.89943,4.32975,4.40585,4.12062,3.68383,3.77869,4.00759,139.20311,4.94898,5.39688,6.23403,7.28697,8.51168,6.7986,8.41772,6.58528,5.71368,8.89185,6.4728,9.27549,9.59132,9.56098,11.58054,11.27017,10.43589,13.35486,12.92336,7.21831,7.51154,7.42629,140.22249,7.23746,6.61476,7.93644,7.1859
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
