"","Sample_Number","Sample_Name","Sample_Project","Microbiome","Rep","fq1","fq2","Sample_Abbr","Sample","Category"
"1","1","S13-1-3","Givaudan Part Three","S13",3,"S13-1-3_L001_R1_001.fastq.gz","S13-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"2","1","S4-1-2","Givaudan Part One","S4",2,"S4-1-2_L001_R1_001.fastq.gz","S4-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"3","1","S8-1-3","Givaudan Part Two","S8",3,"S8-1-3_L001_R1_001.fastq.gz","S8-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"4","1","S11-1-3","Givaudan Part Two","S11",3,"S11-1-3_L001_R1_001.fastq.gz","S11-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"5","1","S15-1-2","Givaudan Part Three","S15",2,"S15-1-2_L001_R1_001.fastq.gz","S15-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"6","1","S6-1-1","Givaudan Part One","S6",1,"S6-1-1_L001_R1_001.fastq.gz","S6-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"7","1","S16-1-1","Givaudan Part Three","S16",1,"S16-1-1_L001_R1_001.fastq.gz","S16-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"8","1","S16-1-2","Givaudan Part Three","S16",2,"S16-1-2_L001_R1_001.fastq.gz","S16-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"9","1","S2-1-2","Givaudan Part One","S2",2,"S2-1-2_L001_R1_001.fastq.gz","S2-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"10","1","S8-1-2","Givaudan Part Two","S8",2,"S8-1-2_L001_R1_001.fastq.gz","S8-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"11","1","S3-1-1","Givaudan Part One","S3",1,"S3-1-1_L001_R1_001.fastq.gz","S3-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"12","1","S3-1-2","Givaudan Part One","S3",2,"S3-1-2_L001_R1_001.fastq.gz","S3-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"13","1","S3-1-3","Givaudan Part One","S3",3,"S3-1-3_L001_R1_001.fastq.gz","S3-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"14","1","S1-1-3","Givaudan Part One","S1",3,"S1-1-3_L001_R1_001.fastq.gz","S1-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"15","1","S11-1-2","Givaudan Part Two","S11",2,"S11-1-2_L001_R1_001.fastq.gz","S11-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"16","1","S5-1-1","Givaudan Part One","S5",1,"S5-1-1_L001_R1_001.fastq.gz","S5-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"17","1","S5-1-2","Givaudan Part One","S5",2,"S5-1-2_L001_R1_001.fastq.gz","S5-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"18","1","S2-1-1","Givaudan Part One","S2",1,"S2-1-1_L001_R1_001.fastq.gz","S2-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"19","1","S4-1-1","Givaudan Part One","S4",1,"S4-1-1_L001_R1_001.fastq.gz","S4-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"20","1","S13-1-2","Givaudan Part Three","S13",2,"S13-1-2_L001_R1_001.fastq.gz","S13-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"21","1","S7-1-1","Givaudan Part Two","S7",1,"S7-1-1_L001_R1_001.fastq.gz","S7-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"22","1","S1-1-1","Givaudan Part One","S1",1,"S1-1-1_L001_R1_001.fastq.gz","S1-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"23","1","S15-1-1","Givaudan Part Three","S15",1,"S15-1-1_L001_R1_001.fastq.gz","S15-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"24","1","S9-1-1","Givaudan Part Two","S9",1,"S9-1-1_L001_R1_001.fastq.gz","S9-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"25","1","S9-1-2","Givaudan Part Two","S9",2,"S9-1-2_L001_R1_001.fastq.gz","S9-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"26","1","S9-1-3","Givaudan Part Two","S9",3,"S9-1-3_L001_R1_001.fastq.gz","S9-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"27","1","S11-1-1","Givaudan Part Two","S11",1,"S11-1-1_L001_R1_001.fastq.gz","S11-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"28","1","S8-1-1","Givaudan Part Two","S8",1,"S8-1-1_L001_R1_001.fastq.gz","S8-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"29","1","S14-1-1","Givaudan Part Three","S14",1,"S14-1-1_L001_R1_001.fastq.gz","S14-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"30","1","S2-1-3","Givaudan Part One","S2",3,"S2-1-3_L001_R1_001.fastq.gz","S2-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"31","1","S5-1-3","Givaudan Part One","S5",3,"S5-1-3_L001_R1_001.fastq.gz","S5-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"32","1","S13-1-1","Givaudan Part Three","S13",1,"S13-1-1_L001_R1_001.fastq.gz","S13-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"33","1","S10-1-2","Givaudan Part Two","S10",2,"S10-1-2_L001_R1_001.fastq.gz","S10-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"34","1","S10-1-3","Givaudan Part Two","S10",3,"S10-1-3_L001_R1_001.fastq.gz","S10-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"35","1","S4-1-3","Givaudan Part One","S4",3,"S4-1-3_L001_R1_001.fastq.gz","S4-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"36","1","S1-1-2","Givaudan Part One","S1",2,"S1-1-2_L001_R1_001.fastq.gz","S1-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"37","1","S12-1-1","Givaudan Part Three","S12",1,"S12-1-1_L001_R1_001.fastq.gz","S12-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"38","1","S12-1-2","Givaudan Part Three","S12",2,"S12-1-2_L001_R1_001.fastq.gz","S12-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"39","1","S12-1-3","Givaudan Part Three","S12",3,"S12-1-3_L001_R1_001.fastq.gz","S12-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"40","1","S15-1-3","Givaudan Part Three","S15",3,"S15-1-3_L001_R1_001.fastq.gz","S15-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"41","1","S6-1-2","Givaudan Part One","S6",2,"S6-1-2_L001_R1_001.fastq.gz","S6-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"42","1","S6-1-3","Givaudan Part One","S6",3,"S6-1-3_L001_R1_001.fastq.gz","S6-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"43","1","S14-1-2","Givaudan Part Three","S14",2,"S14-1-2_L001_R1_001.fastq.gz","S14-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"44","1","S14-1-3","Givaudan Part Three","S14",3,"S14-1-3_L001_R1_001.fastq.gz","S14-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"45","1","S10-1-1","Givaudan Part Two","S10",1,"S10-1-1_L001_R1_001.fastq.gz","S10-1-1_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"46","1","S16-1-3","Givaudan Part Three","S16",3,"S16-1-3_L001_R1_001.fastq.gz","S16-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"47","1","S7-1-3","Givaudan Part Two","S7",3,"S7-1-3_L001_R1_001.fastq.gz","S7-1-3_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"48","1","S7-1-2","Givaudan Part Two","S7",2,"S7-1-2_L001_R1_001.fastq.gz","S7-1-2_L001_R2_001.fastq.gz","SBG","Super B-glucan (SBG)","Prebiotic fiber"
"49","10","S14-10-3","Givaudan Part Three","S14",3,"S14-10-3_L001_R1_001.fastq.gz","S14-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"50","10","S5-10-3","Givaudan Part One","S5",3,"S5-10-3_L001_R1_001.fastq.gz","S5-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"51","10","S8-10-3","Givaudan Part Two","S8",3,"S8-10-3_L001_R1_001.fastq.gz","S8-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"52","10","S16-10-2","Givaudan Part Three","S16",2,"S16-10-2_L001_R1_001.fastq.gz","S16-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"53","10","S1-10-1","Givaudan Part One","S1",1,"S1-10-1_L001_R1_001.fastq.gz","S1-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"54","10","S9-10-2","Givaudan Part Two","S9",2,"S9-10-2_L001_R1_001.fastq.gz","S9-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"55","10","S14-10-2","Givaudan Part Three","S14",2,"S14-10-2_L001_R1_001.fastq.gz","S14-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"56","10","S3-10-2","Givaudan Part One","S3",2,"S3-10-2_L001_R1_001.fastq.gz","S3-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"57","10","S3-10-3","Givaudan Part One","S3",3,"S3-10-3_L001_R1_001.fastq.gz","S3-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"58","10","S11-10-1","Givaudan Part Two","S11",1,"S11-10-1_L001_R1_001.fastq.gz","S11-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"59","10","S9-10-3","Givaudan Part Two","S9",3,"S9-10-3_L001_R1_001.fastq.gz","S9-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"60","10","S11-10-3","Givaudan Part Two","S11",3,"S11-10-3_L001_R1_001.fastq.gz","S11-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"61","10","S5-10-2","Givaudan Part One","S5",2,"S5-10-2_L001_R1_001.fastq.gz","S5-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"62","10","S7-10-2","Givaudan Part Two","S7",2,"S7-10-2_L001_R1_001.fastq.gz","S7-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"63","10","S11-10-2","Givaudan Part Two","S11",2,"S11-10-2_L001_R1_001.fastq.gz","S11-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"64","10","S16-10-1","Givaudan Part Three","S16",1,"S16-10-1_L001_R1_001.fastq.gz","S16-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"65","10","S13-10-3","Givaudan Part Three","S13",3,"S13-10-3_L001_R1_001.fastq.gz","S13-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"66","10","S15-10-3","Givaudan Part Three","S15",3,"S15-10-3_L001_R1_001.fastq.gz","S15-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"67","10","S1-10-2","Givaudan Part One","S1",2,"S1-10-2_L001_R1_001.fastq.gz","S1-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"68","10","S1-10-3","Givaudan Part One","S1",3,"S1-10-3_L001_R1_001.fastq.gz","S1-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"69","10","S15-10-2","Givaudan Part Three","S15",2,"S15-10-2_L001_R1_001.fastq.gz","S15-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"70","10","S2-10-3","Givaudan Part One","S2",3,"S2-10-3_L001_R1_001.fastq.gz","S2-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"71","10","S6-10-3","Givaudan Part Two","S6",3,"S6-10-3_L001_R1_001.fastq.gz","S6-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"72","10","S2-10-1","Givaudan Part One","S2",1,"S2-10-1_L001_R1_001.fastq.gz","S2-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"73","10","S2-10-2","Givaudan Part One","S2",2,"S2-10-2_L001_R1_001.fastq.gz","S2-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"74","10","S4-10-2","Givaudan Part One","S4",2,"S4-10-2_L001_R1_001.fastq.gz","S4-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"75","10","S4-10-3","Givaudan Part One","S4",3,"S4-10-3_L001_R1_001.fastq.gz","S4-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"76","10","S10-10-1","Givaudan Part Two","S10",1,"S10-10-1_L001_R1_001.fastq.gz","S10-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"77","10","S4-10-1","Givaudan Part One","S4",1,"S4-10-1_L001_R1_001.fastq.gz","S4-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"78","10","S6-10-1","Givaudan Part One","S6",1,"S6-10-1_L001_R1_001.fastq.gz","S6-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"79","10","S6-10-2","Givaudan Part One","S6",2,"S6-10-2_L001_R1_001.fastq.gz","S6-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"80","10","S9-10-1","Givaudan Part Two","S9",1,"S9-10-1_L001_R1_001.fastq.gz","S9-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"81","10","S15-10-1","Givaudan Part Three","S15",1,"S15-10-1_L001_R1_001.fastq.gz","S15-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"82","10","S8-10-2","Givaudan Part Two","S8",2,"S8-10-2_L001_R1_001.fastq.gz","S8-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"83","10","S5-10-1","Givaudan Part One","S5",1,"S5-10-1_L001_R1_001.fastq.gz","S5-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"84","10","S12-10-3","Givaudan Part Two","S12",3,"S12-10-3_L001_R1_001.fastq.gz","S12-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"85","10","S8-10-1","Givaudan Part Two","S8",1,"S8-10-1_L001_R1_001.fastq.gz","S8-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"86","10","S13-10-1","Givaudan Part Three","S13",1,"S13-10-1_L001_R1_001.fastq.gz","S13-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"87","10","S13-10-2","Givaudan Part Three","S13",2,"S13-10-2_L001_R1_001.fastq.gz","S13-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"88","10","S7-10-1","Givaudan Part Two","S7",1,"S7-10-1_L001_R1_001.fastq.gz","S7-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"89","10","S16-10-3","Givaudan Part Three","S16",3,"S16-10-3_L001_R1_001.fastq.gz","S16-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"90","10","S7-10-3","Givaudan Part Two","S7",3,"S7-10-3_L001_R1_001.fastq.gz","S7-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"91","10","S3-10-1","Givaudan Part One","S3",1,"S3-10-1_L001_R1_001.fastq.gz","S3-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"92","10","S12-10-2","Givaudan Part Two","S12",2,"S12-10-2_L001_R1_001.fastq.gz","S12-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"93","10","S10-10-3","Givaudan Part Two","S10",3,"S10-10-3_L001_R1_001.fastq.gz","S10-10-3_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"94","10","S14-10-1","Givaudan Part Three","S14",1,"S14-10-1_L001_R1_001.fastq.gz","S14-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"95","10","S10-10-2","Givaudan Part Two","S10",2,"S10-10-2_L001_R1_001.fastq.gz","S10-10-2_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"96","10","S12-10-1","Givaudan Part Three","S12",1,"S12-10-1_L001_R1_001.fastq.gz","S12-10-1_L001_R2_001.fastq.gz","Acerola","Acerola full spectrum","Vitamin + fiber"
"97","11","S8-11-3","Givaudan Part Two","S8",3,"S8-11-3_L001_R1_001.fastq.gz","S8-11-3_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"98","11","S2-11-1","Givaudan Part One","S2",1,"S2-11-1_L001_R1_001.fastq.gz","S2-11-1_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"99","11","S14-11-1","Givaudan Part Three","S14",1,"S14-11-1_L001_R1_001.fastq.gz","S14-11-1_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"100","11","S3-11-1","Givaudan Part One","S3",1,"S3-11-1_L001_R1_001.fastq.gz","S3-11-1_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"101","11","S3-11-2","Givaudan Part One","S3",2,"S3-11-2_L001_R1_001.fastq.gz","S3-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"102","11","S9-11-2","Givaudan Part Two","S9",2,"S9-11-2_L001_R1_001.fastq.gz","S9-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"103","11","S11-11-2","Givaudan Part Two","S11",2,"S11-11-2_L001_R1_001.fastq.gz","S11-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"104","11","S2-11-2","Givaudan Part One","S2",2,"S2-11-2_L001_R1_001.fastq.gz","S2-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"105","11","S11-11-1","Givaudan Part Two","S11",1,"S11-11-1_L001_R1_001.fastq.gz","S11-11-1_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"106","11","S13-11-1","Givaudan Part Three","S13",1,"S13-11-1_L001_R1_001.fastq.gz","S13-11-1_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"107","11","S16-11-1","Givaudan Part Three","S16",1,"S16-11-1_L001_R1_001.fastq.gz","S16-11-1_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"108","11","S8-11-2","Givaudan Part Two","S8",2,"S8-11-2_L001_R1_001.fastq.gz","S8-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"109","11","S1-11-1","Givaudan Part One","S1",1,"S1-11-1_L001_R1_001.fastq.gz","S1-11-1_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"110","11","S1-11-2","Givaudan Part One","S1",2,"S1-11-2_L001_R1_001.fastq.gz","S1-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"111","11","S15-11-1","Givaudan Part Three","S15",1,"S15-11-1_L001_R1_001.fastq.gz","S15-11-1_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"112","11","S9-11-3","Givaudan Part Two","S9",3,"S9-11-3_L001_R1_001.fastq.gz","S9-11-3_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"113","11","S8-11-1","Givaudan Part Two","S8",1,"S8-11-1_L001_R1_001.fastq.gz","S8-11-1_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"114","11","S15-11-3","Givaudan Part Three","S15",3,"S15-11-3_L001_R1_001.fastq.gz","S15-11-3_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"115","11","S3-11-3","Givaudan Part One","S3",3,"S3-11-3_L001_R1_001.fastq.gz","S3-11-3_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"116","11","S12-11-3","Givaudan Part Two","S12",3,"S12-11-3_L001_R1_001.fastq.gz","S12-11-3_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"117","11","S14-11-2","Givaudan Part Three","S14",2,"S14-11-2_L001_R1_001.fastq.gz","S14-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"118","11","S14-11-3","Givaudan Part Three","S14",3,"S14-11-3_L001_R1_001.fastq.gz","S14-11-3_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"119","11","S10-11-1","Givaudan Part Two","S10",1,"S10-11-1_L001_R1_001.fastq.gz","S10-11-1_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"120","11","S10-11-2","Givaudan Part Two","S10",2,"S10-11-2_L001_R1_001.fastq.gz","S10-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"121","11","S7-11-1","Givaudan Part Two","S7",1,"S7-11-1_L001_R1_001.fastq.gz","S7-11-1_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"122","11","S7-11-2","Givaudan Part Two","S7",2,"S7-11-2_L001_R1_001.fastq.gz","S7-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"123","11","S9-11-1","Givaudan Part Two","S9",1,"S9-11-1_L001_R1_001.fastq.gz","S9-11-1_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"124","11","S12-11-1","Givaudan Part Three","S12",1,"S12-11-1_L001_R1_001.fastq.gz","S12-11-1_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"125","11","S12-11-2","Givaudan Part Three","S12",2,"S12-11-2_L001_R1_001.fastq.gz","S12-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"126","11","S15-11-2","Givaudan Part Three","S15",2,"S15-11-2_L001_R1_001.fastq.gz","S15-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"127","11","S6-11-3","Givaudan Part One","S6",3,"S6-11-3_L001_R1_001.fastq.gz","S6-11-3_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"128","11","S6-11-2","Givaudan Part One","S6",2,"S6-11-2_L001_R1_001.fastq.gz","S6-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"129","11","S5-11-3","Givaudan Part One","S5",3,"S5-11-3_L001_R1_001.fastq.gz","S5-11-3_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"130","11","S7-11-3","Givaudan Part Two","S7",3,"S7-11-3_L001_R1_001.fastq.gz","S7-11-3_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"131","11","S11-11-3","Givaudan Part Two","S11",3,"S11-11-3_L001_R1_001.fastq.gz","S11-11-3_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"132","11","S5-11-2","Givaudan Part One","S5",2,"S5-11-2_L001_R1_001.fastq.gz","S5-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"133","11","S16-11-3","Givaudan Part Three","S16",3,"S16-11-3_L001_R1_001.fastq.gz","S16-11-3_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"134","11","S5-11-1","Givaudan Part One","S5",1,"S5-11-1_L001_R1_001.fastq.gz","S5-11-1_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"135","11","S13-11-2","Givaudan Part Three","S13",2,"S13-11-2_L001_R1_001.fastq.gz","S13-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"136","11","S16-11-2","Givaudan Part Three","S16",2,"S16-11-2_L001_R1_001.fastq.gz","S16-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"137","11","S2-11-3","Givaudan Part One","S2",3,"S2-11-3_L001_R1_001.fastq.gz","S2-11-3_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"138","11","S4-11-2","Givaudan Part One","S4",2,"S4-11-2_L001_R1_001.fastq.gz","S4-11-2_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"139","11","S1-11-3","Givaudan Part One","S1",3,"S1-11-3_L001_R1_001.fastq.gz","S1-11-3_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
"140","11","S6-11-1","Givaudan Part One","S6",1,"S6-11-1_L001_R1_001.fastq.gz","S6-11-1_L001_R2_001.fastq.gz","Acerola_R","Red Acerola 20% Vit C","Vitamin"
