"","means.SCFAs","means.std","means.r","means.se","means.Min","means.Max","means.Q25","means.Q50","means.Q75"
"Acerola full spectrum",24.0007147991304,12.0201661117212,46,2.82296894259269,0,49.20102612,23.777914525,27.43392029,31.17353487
"Acerola green + OBG 28%",39.0452229788095,15.3155008619765,42,2.95433929419234,0,70.19311156,34.7946335775,42.631117825,46.88425178
"Acerola red 20% vit C",27.4072233251111,16.3162487307183,45,2.8541629165475,0,83.40189988,22.64580936,30.53408614,34.76496519
"Agrifiber",53.2221081286047,25.8371619516653,43,2.9197844295179,0,95.77947089,37.612550195,50.08371124,71.44625339
"Ascorbic acid (Vit c)",20.3509834856818,12.2572934965359,44,2.88641436867602,0,33.59047515,16.1979149475,25.50898945,29.18842659
"AXOS",38.5730532313333,18.712660162863,15,4.94355518453925,0,58.98157325,28.50438496,44.4054144,51.701966745
"Carrot juice + Green Acerola",28.0044788606818,16.572674829429,44,2.88641436867602,0,57.31510604,24.73469867,30.467144355,35.1040225725
"Carrot juice pro vit A",53.9173823177778,28.6586024376494,27,3.68470848105042,0,95.31390043,31.723324155,47.09059744,81.868426505
"Gingest",25.5012652382,18.9499262137588,45,2.8541629165475,0,90.53889906,8.586043333,29.81664908,38.52461759
"Green Acerola 34% Vit C",29.2765462370455,17.4102758957504,44,2.88641436867602,0,90.43640464,25.1467883525,29.776162085,33.1946681225
"Inulin",53.9469543690244,14.1983222486166,41,2.99015077496825,27.93737075,78.97047629,46.22476626,56.45878963,62.67201859
"lantamanen OBG-29% GF",42.8290583102273,17.168897519197,44,2.88641436867602,0,88.00669782,34.6191756325,45.22963111,52.1610993375
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",62.8471260339474,20.7812833663648,38,3.10594111484991,0,91.80549037,52.6786002625,64.61392075,77.43151901
"OBG 28% (OatWell Bran)",42.218067618718,21.8347660130819,39,3.06586277620715,0,89.58485153,30.94515297,46.03127901,51.59375037
"Red Acerola 20% Vit C",36.4763839851064,18.6841965129959,47,2.79277589329804,0,87.59452637,26.518584825,33.89734969,45.61314919
"Resistant starch postbiotic candidate 1",63.5836702677778,26.233195368396,36,3.19105115012964,0,94.42239612,57.9642874925,71.29092805,79.51506755
"Resistant starch postbiotic candidate 2",45.7720660964103,18.3554634775394,39,3.06586277620715,0,81.5142194,35.53246895,49.00045127,55.23369307
"Super B-glucan (SBG)",39.9790128475556,22.2359884354049,45,2.8541629165475,0,94.2894376,24.73180459,46.34292437,55.15808424
"Yeast B-glucans (YBG-Wellmune)",41.2743073137778,19.1682160359094,45,2.8541629165475,0,70.88131647,28.29144029,43.14892051,54.57051986
