"","groups.SCFAs","groups.groups"
"Resistant starch postbiotic candidate 1",63.5836702677778,"a"
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",62.8471260339474,"a"
"Inulin",53.9469543690244,"b"
"Carrot juice pro vit A",53.9173823177778,"b"
"Agrifiber",53.2221081286047,"b"
"Resistant starch postbiotic candidate 2",45.7720660964103,"bc"
"lantamanen OBG-29% GF",42.8290583102273,"c"
"OBG 28% (OatWell Bran)",42.218067618718,"c"
"Yeast B-glucans (YBG-Wellmune)",41.2743073137778,"c"
"Super B-glucan (SBG)",39.9790128475556,"c"
"Acerola green + OBG 28%",39.0452229788095,"c"
"AXOS",38.5730532313333,"c"
"Red Acerola 20% Vit C",36.4763839851064,"cd"
"Green Acerola 34% Vit C",29.2765462370455,"de"
"Carrot juice + Green Acerola",28.0044788606818,"de"
"Acerola red 20% vit C",27.4072233251111,"de"
"Gingest",25.5012652382,"e"
"Acerola full spectrum",24.0007147991304,"e"
"Ascorbic acid (Vit c)",20.3509834856818,"e"
