"","means.SCFAs","means.std","means.r","means.se","means.Min","means.Max","means.Q25","means.Q50","means.Q75"
"Acerola full spectrum",0.0542883038695652,0.190498835417042,46,1.48007302074259,0,0.975313931,0,0,0
"Acerola green + OBG 28%",1.31949579035714,2.16769809634983,42,1.54895004953113,0,8.242395767,0,0,1.93884614975
"Acerola red 20% vit C",0.0520698020222222,0.151903674083387,45,1.49642791525229,0,0.596630605,0,0,0
"Agrifiber",22.1399460255405,16.2187971094764,37,1.65029352630426,2.630464561,55.86300711,10.05160868,18.18556867,28.2120915
"Ascorbic acid (Vit c)",0.1025492035,0.255163793749232,44,1.51333724197388,0,1.048864286,0,0,0
"AXOS",25.4899276464667,15.1010593471239,15,2.59188917908135,8.477891763,54.31844612,11.76524236,24.39908671,33.889691235
"Carrot juice + Green Acerola",0.0484434550227273,0.182966175150181,44,1.51333724197388,0,0.842942428,0,0,0
"Carrot juice pro vit A",5.02013612133333,5.94051028125583,42,1.54895004953113,0,25.08860792,0.63608548025,2.701200867,7.6380660075
"Gingest",10.4276872174783,13.1574126794678,46,1.48007302074259,0,40.52529797,0.09929889075,2.351032406,20.006769625
"Green Acerola 34% Vit C",0.984700240227273,5.57882765404067,44,1.51333724197388,0,37.09880546,0,0,0.08854154325
"Inulin",28.8954537120303,14.5227106602365,33,1.74745132805661,1.928783102,56.74847536,21.18050446,31.73214309,39.09816373
"lantamanen OBG-29% GF",10.6048735680217,14.017967343678,46,1.48007302074259,0,56.52493749,0.8617961195,2.853509147,18.543417285
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",26.1352324667027,15.9868372176685,37,1.65029352630426,0,56.32613604,12.2374907,23.4290627,40.79546822
"OBG 28% (OatWell Bran)",13.7497652416829,14.6188937315083,41,1.56772588717127,0,49.7672582,2.321798771,7.953674912,19.92711893
"Red Acerola 20% Vit C",1.01382998091489,4.40371901579268,47,1.46424290762986,0,26.30544978,0,0,0.1771378665
"Resistant starch postbiotic candidate 1",9.75767487034884,10.2103129552332,43,1.5308330514415,0,42.40286931,3.2732514845,5.649961544,13.695695625
"Resistant starch postbiotic candidate 2",1.81337177397561,2.5761200919531,41,1.56772588717127,0,10.7452656,0,0.888587391,2.166732972
"Super B-glucan (SBG)",25.0962050492105,11.9202030987171,38,1.62843436877576,0,57.38159049,17.367376555,25.03428306,30.3425571875
"Yeast B-glucans (YBG-Wellmune)",28.2049743069737,14.7083292073057,38,1.62843436877576,0,57.80099691,19.3944289975,25.58569666,39.02455349
