"","means.SCFAs","means.std","means.r","means.se","means.Min","means.Max","means.Q25","means.Q50","means.Q75"
"Acerola full spectrum",0.804678053391304,0.317936235509855,46,0.0528165105548734,0,1.171020449,0.73516701225,0.838224138,1.02198627725
"Acerola green + OBG 28%",0.820177929238095,0.299678242239167,42,0.0552743922046402,0,1.173175581,0.77429334325,0.8530538885,1.010213085
"Acerola red 20% vit C",0.736038141022222,0.398260644341246,45,0.0534001361236052,0,1.193799666,0.664378792,0.831838457,1.025049998
"Agrifiber",0.73644724255,0.398053753300456,40,0.0566393975539289,0,1.200640033,0.725896751,0.8144839965,0.97927114425
"Ascorbic acid (Vit c)",0.754690639863636,0.358236759488157,44,0.0540035466450795,0,1.118371941,0.72950610575,0.8442768425,0.9912041165
"AXOS",0.806059145636364,0.301477551272557,11,0.108007093290159,0,1.128680536,0.74028364,0.797910463,0.985188046
"Carrot juice + Green Acerola",0.756088937886364,0.41343423867916,44,0.0540035466450795,0,1.204951261,0.7151606185,0.8427049405,1.0542462295
"Carrot juice pro vit A",0.739513378219512,0.368438636981816,41,0.0559444093004179,0,1.173357038,0.680676969,0.820091365,0.985712184
"Gingest",0.768192348977778,0.339995547446696,45,0.0534001361236052,0,1.194379462,0.709082696,0.813818062,1.007626798
"Green Acerola 34% Vit C",0.792246425772727,0.320176522567188,44,0.0540035466450795,0,1.134352662,0.75898610725,0.8292375185,1.0176709965
"Inulin",0.87685154655,0.256737184735089,40,0.0566393975539289,0,1.202738228,0.778056117,0.947147144,1.0181784185
"lantamanen OBG-29% GF",0.620911528456522,0.351065317869087,46,0.0528165105548734,0,1.013470848,0.53612111425,0.735941188,0.86610258875
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",0.750330554954545,0.380221827341146,44,0.0540035466450795,0,1.181179931,0.750267645,0.85295502,1.0062357035
"OBG 28% (OatWell Bran)",0.667454175536585,0.382785501074264,41,0.0559444093004179,0,1.155989849,0.616820643,0.785558369,0.855031895
"Red Acerola 20% Vit C",0.721698934422222,0.368983207693551,45,0.0534001361236052,0,1.160894997,0.661871848,0.793100486,0.992495112
"Resistant starch postbiotic candidate 1",0.780557531585366,0.382558919593761,41,0.0559444093004179,0,1.192829377,0.748667119,0.877416774,1.046453305
"Resistant starch postbiotic candidate 2",0.71759500874359,0.3502068349945,39,0.0573609476307661,0,1.169774204,0.6758682735,0.75794959,0.95394199
"Super B-glucan (SBG)",0.846328597485714,0.377242101367806,35,0.0605500629257383,0,1.197656429,0.813903532,0.955761966,1.1013816175
"Yeast B-glucans (YBG-Wellmune)",0.766873734361111,0.363012893732788,36,0.0597031671900616,0,1.185275455,0.792324883,0.870139609,0.975699885
