"","groups.SCFAs","groups.groups"
"Inulin",0.87685154655,"a"
"Super B-glucan (SBG)",0.846328597485714,"ab"
"Acerola green + OBG 28%",0.820177929238095,"abc"
"AXOS",0.806059145636364,"abc"
"Acerola full spectrum",0.804678053391304,"abc"
"Green Acerola 34% Vit C",0.792246425772727,"abc"
"Resistant starch postbiotic candidate 1",0.780557531585366,"abc"
"Gingest",0.768192348977778,"abc"
"Yeast B-glucans (YBG-Wellmune)",0.766873734361111,"abc"
"Carrot juice + Green Acerola",0.756088937886364,"abc"
"Ascorbic acid (Vit c)",0.754690639863636,"abc"
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",0.750330554954545,"abc"
"Carrot juice pro vit A",0.739513378219512,"abc"
"Agrifiber",0.73644724255,"abc"
"Acerola red 20% vit C",0.736038141022222,"abc"
"Red Acerola 20% Vit C",0.721698934422222,"abc"
"Resistant starch postbiotic candidate 2",0.71759500874359,"abc"
"OBG 28% (OatWell Bran)",0.667454175536585,"bc"
"lantamanen OBG-29% GF",0.620911528456522,"c"
