"","groups.SCFAs","groups.groups"
"Inulin",0.6612844553,"a"
"Super B-glucan (SBG)",0.63931810625,"ab"
"AXOS",0.607550035636364,"ab"
"Yeast B-glucans (YBG-Wellmune)",0.597003557810811,"ab"
"Acerola green + OBG 28%",0.582762690785714,"ab"
"Carrot juice pro vit A",0.579301907952381,"ab"
"Gingest",0.579085783826087,"ab"
"Acerola full spectrum",0.571027807282609,"ab"
"Green Acerola 34% Vit C",0.554948842772727,"ab"
"Red Acerola 20% Vit C",0.553944634234042,"ab"
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",0.548686452790698,"ab"
"Resistant starch postbiotic candidate 1",0.547642188166667,"ab"
"OBG 28% (OatWell Bran)",0.54184437597561,"ab"
"lantamanen OBG-29% GF",0.536200474978261,"ab"
"Agrifiber",0.531528133138889,"ab"
"Acerola red 20% vit C",0.530505483888889,"ab"
"Ascorbic acid (Vit c)",0.525003031863636,"ab"
"Carrot juice + Green Acerola",0.521551918340909,"ab"
"Resistant starch postbiotic candidate 2",0.515808313829268,"b"
