"","means.SCFAs","means.std","means.r","means.se","means.Min","means.Max","means.Q25","means.Q50","means.Q75"
"Acerola full spectrum",0,0,46,1.63622984440873,0,0,0,0,0
"Acerola green + OBG 28%",5.49748107202381,8.52272476667064,42,1.7123738241439,0,36.59633013,0,3.0539191895,5.37718022725
"Acerola red 20% vit C",0.0311692086888889,0.209089408299698,45,1.6543102810655,0,1.402614391,0,0,0
"Agrifiber",13.5414966823947,11.3176089048529,38,1.80024422883876,0,36.01994665,5.216845092,8.6485255225,25.8665735525
"Ascorbic acid (Vit c)",0,0,44,1.67300364594883,0,0,0,0,0
"AXOS",17.9981832042143,16.4095065046785,14,2.96591846496826,0,45.40420189,4.79416969425,8.6104953535,32.906594915
"Carrot juice + Green Acerola",0.0186489834090909,0.123703361379035,44,1.67300364594883,0,0.82055527,0,0,0
"Carrot juice pro vit A",2.94951988147619,3.73342211648507,42,1.7123738241439,0,15.57390242,0,2.1271700835,3.50283726875
"Gingest",13.1990872805,14.9736787465129,46,1.63622984440873,0,42.83992833,1.5091262225,4.702112447,26.89391474
"Green Acerola 34% Vit C",0.0473270644418605,0.217195164681788,43,1.69234537112172,0,1.076133847,0,0,0
"Inulin",14.3144838077674,17.0548127250188,43,1.69234537112172,1.684299541,58.69823292,2.9838778505,5.536114267,20.658183565
"lantamanen OBG-29% GF",16.3794322788293,16.0827989998438,41,1.73313062834884,0,55.8142579,5.265399323,9.004626544,32.30799475
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",13.6763692216098,15.8521023732631,41,1.73313062834884,0,57.30963376,2.297544845,5.250021927,19.91325198
"OBG 28% (OatWell Bran)",17.0580385132105,17.6090265604681,38,1.80024422883876,0,57.35116479,6.0683127205,9.344115007,28.0756086725
"Red Acerola 20% Vit C",0.700004696595745,3.85965280926478,47,1.61872955681993,0,25.59003263,0,0,0
"Resistant starch postbiotic candidate 1",7.57400763721429,11.5580062918851,42,1.7123738241439,0,50.66583372,1.7408364575,3.9076841605,5.54505198375
"Resistant starch postbiotic candidate 2",1.42200936382927,1.54712476545007,41,1.73313062834884,0,6.35401487,0,1.521159722,2.34320864
"Super B-glucan (SBG)",21.3142841431389,15.4345614227804,36,1.84957512216962,0,57.34203795,11.815616155,16.291883985,24.514571865
"Yeast B-glucans (YBG-Wellmune)",19.382533913,18.360300394735,36,1.84957512216962,0,60.5167886,7.04208739925,11.58212244,25.0616607875
