"","groups.SCFAs","groups.groups"
"Super B-glucan (SBG)",21.3142841431389,"a"
"Yeast B-glucans (YBG-Wellmune)",19.382533913,"ab"
"AXOS",17.9981832042143,"abc"
"OBG 28% (OatWell Bran)",17.0580385132105,"abc"
"lantamanen OBG-29% GF",16.3794322788293,"abc"
"Inulin",14.3144838077674,"bc"
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",13.6763692216098,"c"
"Agrifiber",13.5414966823947,"c"
"Gingest",13.1990872805,"c"
"Resistant starch postbiotic candidate 1",7.57400763721429,"d"
"Acerola green + OBG 28%",5.49748107202381,"de"
"Carrot juice pro vit A",2.94951988147619,"de"
"Resistant starch postbiotic candidate 2",1.42200936382927,"e"
"Red Acerola 20% Vit C",0.700004696595745,"e"
"Green Acerola 34% Vit C",0.0473270644418605,"e"
"Acerola red 20% vit C",0.0311692086888889,"e"
"Carrot juice + Green Acerola",0.0186489834090909,"e"
"Acerola full spectrum",0,"e"
"Ascorbic acid (Vit c)",0,"e"
