"","means.SCFAs","means.std","means.r","means.se","means.Min","means.Max","means.Q25","means.Q50","means.Q75"
"Acerola full spectrum",1.37570586069565,0.486635013458279,46,0.0878840275059356,0,1.963801989,1.2556135875,1.415196294,1.733455172
"Acerola green + OBG 28%",1.40294062014286,0.523009828610539,42,0.0919738194335947,0,1.999617993,1.33043778625,1.4679364105,1.73147780425
"Acerola red 20% vit C",1.26654362493333,0.644695163371773,45,0.0888551512132147,0,2.019436583,1.135244935,1.432124208,1.775591941
"Agrifiber",1.27317677110526,0.683035589607881,38,0.0966934528576816,0,2.097788279,1.2714671895,1.445516078,1.683859871
"Ascorbic acid (Vit c)",1.27969367172727,0.605730074602644,44,0.0898591960906499,0,1.875108155,1.24709811525,1.4333586025,1.663615812
"AXOS",1.41360918136364,0.512678226561064,11,0.1797183921813,0,1.89165339,1.33252242,1.422569843,1.731929074
"Carrot juice + Green Acerola",1.27764085620455,0.696415053429693,44,0.0898591960906499,0,2.094676631,1.21449446075,1.4371353505,1.762851537
"Carrot juice pro vit A",1.32989938657143,0.56738118401769,42,0.0919738194335947,0,2.106437247,1.209249536,1.426061142,1.70548144925
"Gingest",1.35737170530435,0.596550057479335,46,0.0878840275059356,0,2.146203861,1.24601882875,1.4301495785,1.755813878
"Green Acerola 34% Vit C",1.34719526854545,0.524885826979364,44,0.0898591960906499,0,1.917195973,1.251763503,1.402082065,1.733175366
"Inulin",1.540813138575,0.451165154304356,40,0.0942451199493303,0,2.145776886,1.359659395,1.6235791875,1.8063149715
"lantamanen OBG-29% GF",1.1571120033913,0.58085753313144,46,0.0878840275059356,0,1.768704946,0.9678507945,1.325141311,1.56745464825
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",1.30866317863636,0.64735520071108,44,0.0898591960906499,0,2.056755183,1.30189256625,1.4661400515,1.7567114315
"OBG 28% (OatWell Bran)",1.2092985514878,0.661177056970003,41,0.0930886943137442,0,2.042180908,1.099462419,1.410115043,1.617543189
"Red Acerola 20% Vit C",1.29690798851064,0.578069023845264,47,0.0869440643576829,0,2.078020278,1.1471366025,1.364872041,1.7245218245
"Resistant starch postbiotic candidate 1",1.32951639263415,0.65602908063332,41,0.0930886943137442,0,2.065847921,1.280151204,1.501428769,1.770181825
"Resistant starch postbiotic candidate 2",1.237217936025,0.611520523273368,40,0.0942451199493303,0,2.094742762,1.179692405,1.314524075,1.640699923
"Super B-glucan (SBG)",1.47910349427273,0.570666893152912,33,0.1037604621042,0,2.13876725,1.444001318,1.634827269,1.807501906
"Yeast B-glucans (YBG-Wellmune)",1.33697713677143,0.60642456376277,35,0.100752271207374,0,2.104883803,1.3969659245,1.549540543,1.650795994
