"","groups.SCFAs","groups.groups"
"Inulin",1.540813138575,"a"
"Super B-glucan (SBG)",1.47910349427273,"ab"
"AXOS",1.41360918136364,"ab"
"Acerola green + OBG 28%",1.40294062014286,"ab"
"Acerola full spectrum",1.37570586069565,"ab"
"Gingest",1.35737170530435,"ab"
"Green Acerola 34% Vit C",1.34719526854545,"ab"
"Yeast B-glucans (YBG-Wellmune)",1.33697713677143,"ab"
"Carrot juice pro vit A",1.32989938657143,"ab"
"Resistant starch postbiotic candidate 1",1.32951639263415,"ab"
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",1.30866317863636,"ab"
"Red Acerola 20% Vit C",1.29690798851064,"ab"
"Ascorbic acid (Vit c)",1.27969367172727,"ab"
"Carrot juice + Green Acerola",1.27764085620455,"ab"
"Agrifiber",1.27317677110526,"ab"
"Acerola red 20% vit C",1.26654362493333,"ab"
"Resistant starch postbiotic candidate 2",1.237217936025,"ab"
"OBG 28% (OatWell Bran)",1.2092985514878,"ab"
"lantamanen OBG-29% GF",1.1571120033913,"b"
