"","means.SCFAs","means.std","means.r","means.se","means.Min","means.Max","means.Q25","means.Q50","means.Q75"
"Acerola full spectrum",24.6079764095435,12.2369766823611,46,4.00956291779008,0,49.99867799,24.3241811625,28.143511635,31.9370484175
"Acerola green + OBG 28%",46.4789940845,19.6460465936703,42,4.19615288777651,0,87.78186066,37.449559995,49.170143135,55.29911928
"Acerola red 20% vit C",28.0016334551111,16.4861258014009,45,4.05386882542535,0,83.40189988,23.1747791,31.30514628,35.24588555
"Agrifiber",95.7979907225128,35.017476494329,39,4.35455364493779,6.188227572,150.5253408,81.780821985,104.3016887,116.17576415
"Ascorbic acid (Vit c)",20.9812091651136,12.5852971611044,44,4.09967670681869,0,34.26235918,16.7129468845,25.783090035,30.0245756625
"AXOS",81.0134607923571,30.3147768189788,14,7.26794999795579,8.477891763,122.5336402,65.4191564875,82.62352697,102.46622829
"Carrot juice + Green Acerola",28.5998779560455,16.7619043777033,44,4.09967670681869,0,57.31510604,25.330504685,31.194441015,35.7945517425
"Carrot juice pro vit A",84.1083451218571,37.7136270683985,42,4.19615288777651,0,150.1989422,54.3668434375,95.52443947,112.285512275
"Gingest",51.7053397445652,27.3242793179507,46,4.00956291779008,0,144.1331708,38.213378375,47.17709737,68.5596229175
"Green Acerola 34% Vit C",28.588795034186,14.858205004598,43,4.14707338784386,0,81.79119838,26.22687321,30.32065231,33.62289658
"Inulin",105.57685862625,20.8983030086685,40,4.29977720474851,57.59149151,146.6626018,97.437761375,104.93326585,117.33444265
"lantamanen OBG-29% GF",78.6961337233333,35.6917493832325,45,4.05386882542535,0,154.8462988,52.91864926,82.60962455,98.48612306
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",104.975879940312,35.5470195555159,32,4.80729705896085,0,154.2340125,84.243633065,117.1039312,130.45386335
"OBG 28% (OatWell Bran)",81.2424978751707,38.2387491773053,41,4.24701720412935,5.854392912,148.1784029,56.01486948,85.93450803,106.434529
"Red Acerola 20% Vit C",38.756636035383,23.0765904269118,47,3.96667865895171,0,140.2878923,27.41445346,34.81890631,49.54977719
"Resistant starch postbiotic candidate 1",89.8142499692683,36.8788846185231,41,4.24701720412935,0,151.9659121,80.34315929,91.3739145,120.0871413
"Resistant starch postbiotic candidate 2",52.1353463747073,21.4225046791114,41,4.24701720412935,0,106.1791395,42.9699937,52.82136558,64.66925532
"Super B-glucan (SBG)",95.61020540175,29.5787422276847,40,4.29977720474851,25.31739521,149.7959977,85.5255306675,94.21193685,109.997338225
"Yeast B-glucans (YBG-Wellmune)",92.567039867027,33.0739042314651,37,4.47069545475445,21.60539098,154.2875015,68.59589806,94.40293242,108.5532545
