"","groups.SCFAs","groups.groups"
"Inulin",105.57685862625,"a"
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",104.975879940312,"a"
"Agrifiber",95.7979907225128,"ab"
"Super B-glucan (SBG)",95.61020540175,"ab"
"Yeast B-glucans (YBG-Wellmune)",92.567039867027,"abc"
"Resistant starch postbiotic candidate 1",89.8142499692683,"bc"
"Carrot juice pro vit A",84.1083451218571,"bc"
"OBG 28% (OatWell Bran)",81.2424978751707,"c"
"AXOS",81.0134607923571,"c"
"lantamanen OBG-29% GF",78.6961337233333,"c"
"Resistant starch postbiotic candidate 2",52.1353463747073,"d"
"Gingest",51.7053397445652,"d"
"Acerola green + OBG 28%",46.4789940845,"de"
"Red Acerola 20% Vit C",38.756636035383,"ef"
"Carrot juice + Green Acerola",28.5998779560455,"fg"
"Green Acerola 34% Vit C",28.588795034186,"fg"
"Acerola red 20% vit C",28.0016334551111,"fg"
"Acerola full spectrum",24.6079764095435,"g"
"Ascorbic acid (Vit c)",20.9812091651136,"g"
