"","means.SCFAs","means.std","means.r","means.se","means.Min","means.Max","means.Q25","means.Q50","means.Q75"
"Acerola full spectrum",0.552973306434783,0.291037108088298,46,0.045444838387845,0,0.823353028,0.52957206575,0.6344377305,0.77909155725
"Acerola green + OBG 28%",0.616794243714286,0.281990967507103,42,0.0475596701549693,0,1.03000794,0.5718145635,0.685518678,0.7988578755
"Acerola red 20% vit C",0.511171118822222,0.327595339106572,45,0.0459470065426775,0,0.859609653,0,0.609674494,0.775629996
"Agrifiber",0.645613159261905,0.29826804933872,42,0.0475596701549693,0,1.030323289,0.56672250125,0.754310565,0.81883334775
"Ascorbic acid (Vit c)",0.527676475840909,0.307388674955019,44,0.0464661982375062,0,0.90377135,0.46300600025,0.590449492,0.74129093725
"AXOS",0.761833185833333,0.285119607967707,12,0.0889759955739365,0,1.061460971,0.7461918935,0.811713659,0.892746617
"Carrot juice + Green Acerola",0.528306657386364,0.342978860027351,44,0.0464661982375062,0,0.908928372,0,0.630975166,0.8002247475
"Carrot juice pro vit A",0.557681468333333,0.292444036023486,42,0.0475596701549693,0,0.887355258,0.550585465,0.612973908,0.7585489455
"Gingest",0.587401848043478,0.330899278950965,46,0.045444838387845,0,0.909940042,0.51983833675,0.732925306,0.8280488685
"Green Acerola 34% Vit C",0.554997732318182,0.315004449319954,44,0.0464661982375062,0,1.09641241,0.506027663,0.6028344145,0.799852949
"Inulin",0.768919358357143,0.241210217016165,42,0.0475596701549693,0,1.096812971,0.632712318,0.8000456415,0.8971343895
"lantamanen OBG-29% GF",0.544702949108696,0.312366741783414,46,0.045444838387845,0,1.016905179,0.4537075375,0.6456340335,0.74957513625
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",0.630078301714286,0.305225444868939,42,0.0475596701549693,0,0.948137088,0.584821577,0.765429623,0.82754553575
"OBG 28% (OatWell Bran)",0.582000636317073,0.337525100355661,41,0.0481361720539934,0,1.042052617,0.490500663,0.728458252,0.802308746
"Red Acerola 20% Vit C",0.566417372234043,0.285834958310301,47,0.044958783360838,0,0.921556615,0.512382038,0.607503327,0.7799319145
"Resistant starch postbiotic candidate 1",0.528128505142857,0.301437649562166,42,0.0475596701549693,0,0.873969209,0.44015498825,0.6079954165,0.748555055
"Resistant starch postbiotic candidate 2",0.55924599697561,0.284539780146109,41,0.0481361720539934,0,0.932682096,0.510998455,0.638305833,0.778397122
"Super B-glucan (SBG)",0.691461650192308,0.344968923863507,26,0.0604472858271117,0,1.093338862,0.5947468845,0.7438502665,0.939504868
"Yeast B-glucans (YBG-Wellmune)",0.713177218314286,0.353259821714051,35,0.0520990083427638,0,1.096543161,0.632293585,0.864400223,0.9348485655
