"","groups.SCFAs","groups.groups"
"Inulin",0.768919358357143,"a"
"AXOS",0.761833185833333,"a"
"Yeast B-glucans (YBG-Wellmune)",0.713177218314286,"ab"
"Super B-glucan (SBG)",0.691461650192308,"abc"
"Agrifiber",0.645613159261905,"abcd"
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",0.630078301714286,"abcd"
"Acerola green + OBG 28%",0.616794243714286,"abcd"
"Gingest",0.587401848043478,"bcd"
"OBG 28% (OatWell Bran)",0.582000636317073,"bcd"
"Red Acerola 20% Vit C",0.566417372234043,"bcd"
"Resistant starch postbiotic candidate 2",0.55924599697561,"bcd"
"Carrot juice pro vit A",0.557681468333333,"bcd"
"Green Acerola 34% Vit C",0.554997732318182,"bcd"
"Acerola full spectrum",0.552973306434783,"bcd"
"lantamanen OBG-29% GF",0.544702949108696,"bcd"
"Carrot juice + Green Acerola",0.528306657386364,"cd"
"Resistant starch postbiotic candidate 1",0.528128505142857,"cd"
"Ascorbic acid (Vit c)",0.527676475840909,"cd"
"Acerola red 20% vit C",0.511171118822222,"d"
