Subject,Sam_Num,Rep,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Mediterraneibacter,Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter,Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Intestinimonas,Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Flavonifractor,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Anaerobutyricum,Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Segatella,Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Massiliprevotella,Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides,Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter,Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes,Bacteria_Bacillota_Negativicutes_Veillonellales-Selenomonadales_Veillonellaceae_Veillonella,Bacteria_Bacillota_Negativicutes_Veillonellales-Selenomonadales_Veillonellaceae_Dialister,Bacteria_Bacillota_Bacilli_Erysipelotrichales_Erysipelatoclostridiaceae_Longibaculum,Bacteria_Bacillota_Bacilli_Erysipelotrichales_Erysipelatoclostridiaceae_Erysipelotrichaceae UCG-003,Bacteria_Bacillota_Bacilli_Erysipelotrichales_Erysipelotrichaceae_Holdemania,Bacteria_Bacillota_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus,Bacteria_Bacillota_Bacilli_Lactobacillales_Streptococcaceae_Lactococcus,Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Pasteurellaceae_Haemophilus,Bacteria_Pseudomonadota_Gammaproteobacteria_Burkholderiales_Oxalobacteraceae_Massilia,Bacteria_Pseudomonadota_Gammaproteobacteria_Burkholderiales_Alcaligenaceae_Achromobacter,Bacteria_Pseudomonadota_Gammaproteobacteria_Burkholderiales_Sutterellaceae_Sutterella,Bacteria_Pseudomonadota_Gammaproteobacteria_Burkholderiales_Sutterellaceae_Parasutterella,Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Escherichia-Shigella,Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Klebsiella,Bacteria_Thermodesulfobacteriota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio,Bacteria_Thermodesulfobacteriota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Bilophila,Bacteria_Pseudomonadota_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Brevundimonas,Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family XIII AD3011 group,Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family XIII UCG-001,Bacteria_Bacillota_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Romboutsia,Bacteria_Bacillota_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae R-7 group,Bacteria_Actinomycetota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium,Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus,Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Negativibacillus,Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Angelakisella,Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Candidatus Soleaferrea,Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Ruthenibacterium,Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Gemmiger,Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium,Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_Acutalibacter,Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_DTU089,Bacteria_Bacillota_Clostridia_Oscillospirales_Butyricicoccaceae_Agathobaculum,Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005,Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002,Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003,Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214 group,Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Oscillibacter,Bacteria_Bacillota_Clostridia_Oscillospirales_Oscillospiraceae_Oscillospira,Bacteria_Bacillota_Clostridia_Monoglobales_Monoglobaceae_Monoglobus,Bacteria_Bacillota_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium,Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Adlercreutzia,Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Eggerthella,Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Faecalimonas,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Dorea,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Ruminococcus] gnavus group,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Butyribacter,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] ventriosum group,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae ND3007 group,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] xylanophilum group,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae UCG-010,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Anaerostipes,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] eligens group,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] ruminantium group,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_GCA-900066575,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Frisingicoccus,Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4A136 group,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Enterocloster,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae UCG-004,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae UCG-009,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae FCS020 group,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Blautia,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Marvinbryantia,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_CAG-56,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter,Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_[Ruminococcus] gauvreauii group
S1,FBB0,1,142,15,5,5,5,0,404,257,25,334,1,0,0,36,0,2,0,7,0,0,0,144,475,0,71,21,0,7,2,0,82,19,332,1,2,0,0,35,343,25,1,28,25,159,57,24,10,0,4,0,0,0,0,1,20,2,3,24,27,190,2,9,25,8,9,10,19,0,2,2,2322,111,28,21,22,0,0,75,0,0,42,2
S10,FBB0,1,28,9,0,3,3,4142,0,4,6,60,0,0,0,2,0,0,0,0,0,0,59,1,632,1,0,13,0,8,0,0,11,0,0,0,0,0,0,17,111,34,1,3,3,36,17,3,1,0,4,283,0,0,0,0,22,0,12,0,2,181,4,10,0,8,6,3,0,0,1,0,191,2,52,24,31,0,5,32,3,26,8,4
S11,FBB0,1,64,80,10,26,0,1,0,58,62,48,0,0,5,34,2,1,0,0,0,4,0,100,2017,0,50,10,0,0,1,0,5,6,0,0,7,2,0,114,1018,18,2,13,6,18,0,0,29,4,22,0,0,0,0,1,19,3,3,0,204,62,4,5,0,37,11,44,80,0,0,0,1466,114,13,21,41,0,0,108,2,0,15,13
S12,FBB0,1,3,4,2,2,2,793,0,43,39,340,7,0,0,0,0,7,0,14,0,0,0,79,1263,1,0,14,0,3,0,0,17,8,120,0,3,0,0,21,975,0,0,56,21,119,32,26,18,0,47,0,0,0,0,0,1,0,10,7,16,5,8,10,41,17,1,152,6,376,10,6,883,26,27,12,36,0,7,23,0,14,52,0
S13,FBB0,1,9,2,0,0,1,3228,0,2,19,85,15,0,0,3,1,19,0,45,0,1,0,51,914,0,0,3,0,1,0,7,0,0,117,0,0,0,0,16,411,1,0,2,24,39,38,1,7,3,28,21,0,0,0,0,14,0,9,0,36,204,1,4,2,0,11,73,29,8,1,0,419,11,4,12,17,0,1,32,1,12,23,1
S14,FBB0,1,147,6,34,3,2,2,0,51,69,606,1,575,4,10,0,2,1,0,0,0,6,7,1353,0,0,30,0,3,0,0,22,1,66,1,0,0,0,37,510,95,3,40,61,72,0,25,46,3,12,0,0,0,0,0,4,0,1,4,33,35,9,19,0,23,10,0,6,0,0,0,1561,191,1,2,25,6,0,149,1,2,111,16
S15,FBB0,1,14,66,0,1,1,0,0,125,0,0,11,0,1,25,0,16,1,0,0,0,0,214,1442,0,0,0,0,0,0,0,2,590,87,0,0,0,0,24,1010,1,0,31,0,0,60,0,0,0,2,377,0,0,0,0,12,0,8,0,85,18,70,4,0,34,11,63,0,0,0,0,1470,34,58,14,45,0,0,26,0,13,37,0
S16,FBB0,1,3,0,0,0,6,2,1071,16,3,102,0,230,0,6,0,13,45,31,0,0,128,4,1092,0,0,4,0,4,2,0,288,508,20,0,1,0,0,93,697,0,0,3,46,80,59,22,3,2,10,7,0,0,0,1,11,0,2,0,69,166,2,47,11,7,24,19,49,64,2,0,811,19,16,50,17,0,18,49,1,4,32,0
S2,FBB0,1,59,8,0,1,3,2602,0,117,18,87,1,0,0,8,0,9,0,3,0,0,0,85,1193,0,14,13,0,2,5,29,3,5,5,0,3,0,0,42,328,7,0,4,0,88,38,11,10,1,18,348,0,0,0,3,28,0,7,0,80,103,7,0,0,2,15,1,17,1,1,0,371,51,8,19,7,0,5,58,1,38,104,3
S3,FBB0,1,14,2,0,0,9,4527,26,50,1,1,3,0,0,0,0,0,0,0,0,0,0,0,429,0,6,9,0,1,0,22,6,1,18,0,0,0,2,3,55,72,0,0,0,29,23,4,0,0,16,474,0,0,6,0,64,1,0,0,15,23,0,2,0,12,0,2,26,16,0,0,17,13,9,11,21,0,0,67,0,0,4,0
S4,FBB0,1,18,5,3,4,2,0,0,2,0,352,0,0,0,9,0,2,0,2,0,0,0,114,1117,0,0,25,1,0,0,1,17,27,112,0,0,0,0,52,253,0,0,0,30,111,117,12,6,1,23,546,0,0,0,2,56,0,4,5,74,2,0,9,0,0,5,105,17,144,4,5,2135,301,13,37,39,2,2,17,3,31,92,4
S5,FBB0,1,5,156,13,14,0,0,0,130,0,214,52,77,2,0,1,3,2,0,0,1,0,108,1476,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,41,0,2,1,0,0,0,0,0,15,0,0,42,6,0,104,29,0,2,47,7,0,0,0,1569,11,175,0,14,26,0,34,0,0,0,0
S6,FBB0,1,39,4,6,10,0,1,0,258,25,60,1,353,0,0,0,2,0,0,0,0,0,176,1334,0,0,0,0,0,0,0,9,8,14,1,0,0,15,18,253,6,4,0,1,91,42,13,41,1,4,1,0,0,0,0,15,16,0,0,13,151,0,0,0,0,14,54,0,0,2,2,2883,21,24,18,77,0,0,19,0,0,16,5
S7,FBB0,1,39,71,33,48,4,0,0,193,0,729,0,27,1,0,0,1,0,0,0,0,42,1,1261,0,0,0,0,0,0,0,135,1,39,0,0,0,31,46,288,67,3,37,190,52,0,0,49,13,19,0,0,0,0,0,8,0,5,0,205,35,7,1,13,24,0,78,5,0,0,13,1728,33,17,4,8,2,2,48,0,20,72,8
S8,FBB0,1,27,14,1,4,6,0,719,32,19,312,0,0,0,5,0,7,0,0,0,0,24,4,1523,0,0,2,0,18,5,0,33,4,15,0,2,0,0,71,504,2,0,19,42,168,42,27,8,0,4,155,0,0,0,1,58,0,4,8,73,258,19,4,10,30,45,1,23,22,8,0,1086,140,25,9,36,0,3,263,0,13,99,7
S9,FBB0,1,32,34,3,3,3,3032,0,153,14,10,0,0,0,0,0,2,0,0,0,1,172,4,548,0,0,14,0,4,0,0,0,0,33,2,1,0,3,2,404,6,0,3,2,20,22,0,2,0,8,633,0,0,0,1,68,5,0,0,26,70,0,0,0,4,8,7,17,0,1,2,521,73,8,24,31,1,0,59,0,0,26,0
