Sample/PPIa,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
AXOS,0.518987342,0.534265734,0.78913738,0.734012975,0.56712963,0.817967831,0.712112346,0.976588629,0.593431484,0.377405858,0.701882845,0.735988884,0.544221378,0.066974596,0.670120898,
Acerola full spectrum,0.310043668,-0.238803448,-0.713986161,-0.370633044,0.129739917,-0.29615894,-0.24313477,0.613012048,-0.581834372,-0.599099099,-0.620571035,0.18147951,-0.623370352,-0.143766578,-0.132371213,-0.274942661
Acerola green + OBG 28%,0.101814962,0.134393064,0.841269841,0.063445102,0.256829491,0.300288184,0.193185937,0.314461119,-0.62145749,-0.569561875,-0.20953963,0.346938776,0.11299435,-0.234135667,0.203527083,0.503697617
Acerola red 20% vit C& acerola green vit C 34%,0.684626586,0.606004902,0.782987274,0.656258635,0.907711988,0.722600329,0.91300925,0.89061445,0.518188058,0.491923642,0.459439112,0.709216102,0.695042095,0.804841713,0.69421382,0.566869301
Agrifiber,0.588896062,0.057894737,0.870292887,0.765941485,0.471126358,0.791735044,0.673125956,0.973653802,-0.121163166,-0.597023469,0.478023644,0.778219133,0.336275375,0.006388576,0.866317468,0.940793201
Aronox PE 40% polyphenols,-0.767617091,-0.779843686,-0.817045081,-0.878469415,-0.036711258,-0.667984884,-0.571798476,-0.962210942,-0.730251419,-0.928200169,-0.883697343,-0.732129278,-0.939615343,-0.837429112,-0.776439514,-0.879287305
Ascorbic acid (Vit c),0.652337858,0.509709603,-0.39065324,0.490792878,0.670364767,0.87287801,0.290177983,-0.434567047,-0.412973667,-0.443309002,0.230835118,0.607800255,-0.403559278,0.212584738,0.752492799,0.284367397
Carrot juice + Green Acerola,0.656503281,0.539946381,0.778268064,0.686778594,0.883846025,0.672708169,0.954287947,0.940332498,0.563871694,0.300632911,0.344368187,0.652293326,0.67929424,0.758249907,0.658927584,0.609117362
Carrot juice pro vit A,0.374021909,0.250196696,0.949615713,0.395975333,0.420172459,0.403793159,0.373577982,0.861923584,-0.029695886,0.098507463,0.427668369,0.615082482,0.50714615,0.685108583,0.394361668,0.639397201
FBB0,0.215451578,-0.287738153,-0.360730594,-0.360691145,0.095224952,-0.408096789,-0.043165468,-0.196777906,-0.018582244,-0.600907029,-0.2,-0.044888721,-0.182382835,-0.177114009,0.080830147,0.054977712
FBB16,0.636926251,0.608256881,0.729758149,0.826169107,0.550673575,0.739853301,0.985525756,0.951832461,0.768437142,0.515447154,0.634435434,0.70585189,0.65204236,0.866396761,0.743104381,0.841029523
Gingest,0.174842559,-0.240463788,-0.423660263,-0.845629106,-0.069359657,0.154369228,-0.2724049,-0.817141262,-0.745885955,-0.872311828,-0.344383406,-0.010123186,-0.575420191,,0.046323403,-0.014764248
Green Acerola 34% Vit C,0.665961945,0.521725919,0.768067227,0.616430595,0.884720952,0.736279401,0.938721606,0.871068203,0.448118586,0.578125,0.456344587,0.75907441,0.717176703,0.797605253,0.785040431,0.621969322
Inulin,0.594004065,0.570711297,0.964781746,0.758743169,0.628246965,0.740011416,0.941640823,0.963859309,0.80155642,-0.22659176,0.811096915,0.831186967,0.637315695,0.828979344,0.91626813,0.912759566
OBG 28% (OatWell Bran),0.169901941,-0.387379492,0.296747967,0.040110016,0.319307248,0.143441575,0.452657807,0.581336696,-0.289719626,-0.833020638,0.454995871,0.53869969,-0.370847458,-0.218562874,0.22992772,0.667872307
Oat B-glucans (OBG 70% (Low m.wt))- Garuda,0.424913635,0.314232034,0.78270193,0.580094442,0.505987261,0.695948136,0.916905444,0.962380038,0.057173679,-0.494906166,0.662321667,0.705924596,0.246348588,0.458447132,0.78449528,0.911218955
Red Acerola 20% Vit C,0.727400846,0.613573831,0.872258065,0.768054376,0.888928635,0.761548387,0.938063063,0.970954831,0.484265734,0.371084337,0.54970446,0.798687987,0.788402848,0.772634998,0.702988875,0.686549239
Resistant starch postbiotic candidate 1,0.521698408,-0.121842021,0.800802627,0.547219384,0.415287628,0.704235463,0.840770941,0.894948592,-0.059865093,-0.319677219,0.517257628,0.718541748,0.357378715,0.652143845,0.537414966,0.74611399
Resistant starch postbiotic candidate 2,0.407056968,0.511422638,0.826553138,0.694253242,0.566563467,0.549608162,0.745961496,0.581600196,0.309241379,-0.250814332,0.116266667,0.595118449,0.644271701,0.550454742,0.552067869,0.515346468
Super B-glucan (SBG),0.572076156,0.515079128,0.953951004,0.726732673,0.592097618,0.841543027,0.704883227,0.932698413,0.588024457,0.343496903,0.655770514,0.825209675,0.373861968,0.246609125,0.801004394,0.916814947
Svetol,0.566239725,-0.039717267,0.903059197,0.414588057,0.217368046,0.649717514,0.574266128,0.831643002,0.116263212,-0.353806599,0.341000711,0.670097198,0.468028419,0.535891969,0.629583203,0.453133092
Yeast B-glucans (YBG-Wellmune),0.537770045,0.280923584,0.917808219,0.501067236,0.42427856,0.687782186,0.678490223,0.958333333,0.198369565,-0.52793995,0.33304272,0.678797997,0.510061242,0.336477987,0.731099305,0.832379208
lantamanen OBG-29% GF,0.535004586,-0.476993166,-0.012738854,-0.299270073,0.317134478,0.152671756,0.401726561,0.598028478,-0.121902874,-0.884801549,0.486730159,0.339607201,-0.611195159,-0.24413687,0.222258917,0.506463326
