,Beneficial,Harmful,Total,PPIa
FBB0,1013.75,1260.8125,2274.5625,-0.10861979
FBB16,2085.5625,334.25,2419.8125,0.723738926
Polyphenols,1041.635417,1920.927083,2962.5625,-0.296801052
Postbiotic,1364.263158,411.7368421,1776,0.536332385
Prebiotic control,1909.4375,226.2916667,2135.729167,0.788089548
Prebiotic fiber,1130.991354,572.4841499,1703.475504,0.327863361
Synergistic effect (Fiber),900.2093023,725.255814,1625.465116,0.107632878
Vitamin,1322.121053,414.4210526,1736.542105,0.522705437
Vitamin (Synergistic effect),1271.326087,218.173913,1489.5,0.707050805
Vitamin (Synergistic),1245.0625,199.3958333,1444.458333,0.723916116
Vitamin + fiber,921.6595745,1469.361702,2391.021277,-0.229066187
