"","Beneficial","Harmful","Total","PPIa"
"AXOS",462,404,866,0.0669745958429561
"Acerola full spectrum",807,1078,1885,-0.143766578249337
"Acerola green + OBG 28%",350,564,914,-0.234135667396061
"Acerola red 20% vit C& acerola green vit C 34%",807.666666666667,87.3333333333333,895,0.804841713221601
"Agrifiber",446.333333333333,440.666666666667,887,0.00638857572341221
"Aronox PE 40% polyphenols",286.666666666667,3240,3526.66666666667,-0.837429111531191
"Ascorbic acid (Vit c)",1162.66666666667,755,1917.66666666667,0.212584738397358
"Carrot juice + Green Acerola",790.333333333333,108.666666666667,899,0.758249907304412
"Carrot juice pro vit A",1086.33333333333,203,1289.33333333333,0.685108583247156
"FBB0",978,1399,2377,-0.177114009255364
"FBB16",1383,99,1482,0.866396761133603
"Green Acerola 34% Vit C",775.666666666667,87.3333333333333,863,0.797605252993434
"Inulin",2007,187.666666666667,2194.66666666667,0.828979343863913
"OBG 28% (OatWell Bran)",348,542.666666666667,890.666666666667,-0.218562874251497
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",623,231.333333333333,854.333333333333,0.458447132266875
"Red Acerola 20% Vit C",727.666666666667,93.3333333333333,821,0.772634997969955
"Resistant starch postbiotic candidate 1",1194.5,251.5,1446,0.652143845089903
"Resistant starch postbiotic candidate 2",596.666666666667,173,769.666666666667,0.550454742312689
"Super B-glucan (SBG)",674,407.333333333333,1081.33333333333,0.246609124537608
"Svetol",720.333333333333,217.666666666667,938,0.53589196872779
"Yeast B-glucans (YBG-Wellmune)",708.333333333333,351.666666666667,1060,0.336477987421384
"lantamanen OBG-29% GF",327.666666666667,539.333333333333,867,-0.244136870434448
