,Beneficial,Harmful,Total,PPIa
AXOS,1604.6,336.4,1941,0.653374549
Acerola full spectrum,921.6595745,1469.361702,2391.021277,-0.229066187
Acerola green + OBG 28%,900.2093023,725.255814,1625.465116,0.107632878
Acerola red 20% vit C& acerola green vit C 34%,1245.0625,199.3958333,1444.458333,0.723916116
Agrifiber,1186.875,271.7916667,1458.666667,0.627342322
Aronox PE 40% polyphenols,500.4791667,3196.729167,3697.208333,-0.729266451
Ascorbic acid (Vit c),1399.604167,823.1041667,2222.708333,0.259368263
Carrot juice + Green Acerola,1271.326087,218.173913,1489.5,0.707050805
Carrot juice pro vit A,1218.208333,443.3958333,1661.604167,0.466303898
FBB0,1013.75,1260.8125,2274.5625,-0.10861979
FBB16,2085.5625,334.25,2419.8125,0.723738926
Gingest,1079.777778,1978.8,3058.577778,-0.293934726
Green Acerola 34% Vit C,1204.326087,194.1304348,1398.456522,0.722364719
Inulin,1909.4375,226.2916667,2135.729167,0.788089548
OBG 28% (OatWell Bran),784.6041667,490.4791667,1275.083333,0.230671198
Oat B-glucans (OBG 70% (Low m.wt))- Garuda,1319.729167,306.6041667,1626.333333,0.6229504
Red Acerola 20% Vit C,1461.4375,187.875,1649.3125,0.772177801
Resistant starch postbiotic candidate 1,1380.191489,397.1914894,1777.382979,0.553060321
Resistant starch postbiotic candidate 2,1348.666667,425.9791667,1774.645833,0.519927685
Super B-glucan (SBG),1529.104167,288.8541667,1817.958333,0.682221356
Svetol,1582.791667,645.125,2227.916667,0.420871517
Yeast B-glucans (YBG-Wellmune),1096.021277,334.5744681,1430.595745,0.532258544
lantamanen OBG-29% GF,768.8958333,493,1261.895833,0.218635981
